input,output
#ʔabu#,#abo#
#aku#,#ako#
#amax#,#ama#
#ʔapid#,#apid#
#apu#,#apo#
#ʔasawa#,#asawa#
#ai#,#aj#
#bakaŋ#,#bakaŋ#
#baliw#,#baliw#
#batux#,#bato#
#baju#,#bajo#
#bituʔen#,#bituʔon#
#bulaw#,#bueaw#
#budʒeʔ#,#bueaʔ#
#bukas#,#bukas#
#betuŋ#,#butoŋ#
#balbal#,#baebae#
#bales#,#baeos#
#baɲaw#,#banaw#
#bilaŋ#,#bilaŋ#
#bitbit#,#bitbit#
#bubu#,#bobo#
#bedʒbedʒ#,#budbud#
#bukidʒ#,#bukid#
#bunabun#,#bunbun#
#buŋa#,#buŋa#
#buŋa#,#buŋa#
#beŋbeŋ#,#buŋbuŋ#
#daki#,#daki#
#dakep#,#dakop#
#danaw#,#danaw#
#depah#,#dupa#
#zalan#,#daean#
#dalem#,#daeom#
#zawa#,#dawa#
#daŋdaŋ#,#daŋdaŋ#
#dilaʔ#,#dilaʔ#
#demdem#,#dumdum#
#detdet#,#dutdut#
#lahud#,#eawod#
#daja#,#eaja#
#lawaʔ#,#eawaʔ#
#laŋaw#,#eaŋaw#
#luludʒ#,#eueod#
#i#,#i#
#ina#,#ina#
#ʔiut#,#iot#
#kawajan#,#kawajan#
#kawil#,#kawil#
#kilala#,#kilaea#
#kiaw#,#kijaw#
#kaen#,#kaon#
#kipit#,#kimpit#
#kuden#,#kueon#
#likaw#,#likaw#
#likud#,#likod#
#lima#,#lima#
#mamah#,#mamah#
#manuk#,#manok#
#ni#,#ni#
#ɲamɲam#,#namnam#
#pa#,#pa#
#paheku#,#paku#
#panaʔ#,#panaʔ#
#paen#,#paon#
#paŋa#,#paŋa#
#pidʒax#,#pila#
#pitu#,#pito#
#putun#,#putoe#
#padʒaj#,#paeaj#
#padeŋ#,#paeoŋ#
#pakpak#,#pakpak#
#paʔa#,#paʔa#
#pikpik#,#pikpik#
#piliʔ#,#piliʔ#
#pulu#,#pueo#
#pukpuk#,#pukpuk#
#punaj#,#punaj#
#sa#,#sa#
#sapaʔ#,#sapaʔ#
#si#,#si#
#sipit#,#sipit#
#sabsab#,#sabsab#
#saleŋ#,#saeoŋ#
#sikux#,#siko#
#sikux#,#siku#
#sipit#,#sipit#
#sipiŋ#,#sipiŋ#
#susu#,#soso#
#tapus#,#tapos#
#tibuk#,#tibok#
#tubah#,#tuba#
#tukad#,#tukad#
#tuzuʔ#,#turoʔ#
#tuʔed#,#tuod#
#taʔan#,#taan#
#tiktik#,#tiktik#
#tuduʔ#,#tueoʔ#
#tektek#,#tuktuk#
#ʔudaŋ#,#ueaŋ#
#ʔumah#,#uma#
#ʔuman#,#uman#
#ʔupuŋ#,#upoŋ#
#ʔetut#,#utot#
#ʔuaj#,#uwaj#
#walu#,#waeo#
#wakwak#,#wakwak#
#ʔaɲud#,#anod#
#ʔapedʒux#,#apdoh#
#ʔatip#,#atip#
#ʔidus#,#ilos#
#ʔuaŋ#,#uaŋ#
#ʔuluh#,#ueo#
#ʔuledʒ#,#ueod#
#ʔudʒiŋ#,#uliŋ#
#ʔumaŋ#,#umaŋ#
#ʔemʔem#,#umʔum#
#ŋilu#,#ŋilo#
#ŋadʒan#,#ŋaean#
#ŋaŋa#,#ŋaŋa#
#ŋipen#,#ŋipon#
#ŋusŋus#,#ŋusŋus#
