input,output
#ʔabu#,#abu#
#alap#,#alap#
#ʔapedʒux#,#amperu#
#asu#,#asu#
#bakuŋ#,#bakuŋ#
#bales#,#bales#
#baseʔ#,#baseh#
#babuj#,#bawi#
#bedʒbedʒ#,#bebed#
#beŋbeŋ#,#bebeŋ#
#bedʒbedʒ#,#bedbed#
#belaʔ#,#belah#
#beli#,#beli#
#bilaŋ#,#bilaŋ#
#buaʔ#,#buah#
#bubu#,#bubu#
#buluʔ#,#buluh#
#buŋa#,#buŋa#
#buʔaja#,#bwaja#
#daki#,#daki#
#dalem#,#dalem#
#daŋdaŋ#,#daŋdaŋ#
#demdem#,#demdem#
#depah#,#depa#
#di#,#di#
#dilaʔ#,#dilah#
#paen#,#empan#
#enem#,#enem#
#ʔetut#,#entut#
#ɡemel#,#ɡemel#
#ɡisɡis#,#ɡisɡis#
#ɡemɡem#,#ɡəmɡəm#
#ʔudip#,#hurip#
#i#,#i#
#ia#,#ia#
#ina#,#ina#
#ʔinep#,#inep#
#isi#,#isi#
#zalan#,#dʒalan#
#zawa#,#dʒawa#
#ka#,#ka#
#kali#,#kali#
#kudʒa#,#kuda#
#kurap#,#kurap#
#kuden#,#kuren#
#lama#,#lama#
#laju#,#laju#
#laŋu#,#laŋu#
#litlit#,#lilit#
#lima#,#lima#
#lipet#,#limpet#
#lahud#,#lod#
#luludʒ#,#lulud#
#manuk#,#manuk#
#beŋbeŋ#,#mebeŋ#
#belaʔ#,#melah#
#pespes#,#mespes#
#pitpit#,#mipit#
#dakep#,#nakep#
#tekep#,#nekep#
#tenun#,#nenun#
#tusuk#,#nusuk#
#pacek#,#pacek#
#padʒaj#,#padi#
#paʔa#,#paha#
#paheku#,#paku#
#palu#,#palu#
#panaʔ#,#panah#
#peceʔ#,#pecah#
#peɲu#,#peɲu#
#piliʔ#,#pilih#
#pidʒax#,#pira#
#pitu#,#pitu#
#pukpuk#,#pukpuk#
#puluŋ#,#puluŋ#
#putun#,#puntul#
#piuk#,#peok#
#piuk#,#piok#
#pikuʔ#,#peŋkoh#
#seksek#,#seksek#
#selsel#,#selsel#
#seŋet#,#seŋet#
#seŋseŋ#,#seŋseŋ#
#si#,#si#
#sidu#,#sidu#
#sikux#,#siku#
#sipit#,#sipit#
#siap#,#sijap#
#suksuk#,#suksuk#
#susu#,#susu#
#takep#,#takep#
#taktak#,#taktak#
#takut#,#takut#
#tastas#,#tastas#
#tebek#,#tebek#
#tebteb#,#tebteb#
#tekep#,#tekep#
#tektek#,#tektek#
#telu#,#telu#
#tenun#,#tenun#
#tik#,#tik#
#tikel#,#tikel#
#tubah#,#tuba#
#tudiŋ#,#tudiŋ#
#tuduʔ#,#tuduh#
#tuʔed#,#tuhed#
#tuzuʔ#,#tudʒuh#
#tuktuk#,#tuktuk#
#tuktuk#,#tuktuk#
#tuked#,#tuŋkəd#
#ʔudaŋ#,#udaŋ#
#ʔukut#,#ukut#
#ʔuledʒ#,#uled#
#ʔules#,#ules#
#ʔuluh#,#ulu#
#ʔumah#,#uma#
#ʔudem#,#urem#
#utaʔ#,#utah#
#ʔia#,#ja#
#ŋadʒan#,#ŋadan#
#ɡemel#,#ŋemel#
#ŋilu#,#ŋilu#
#kiskis#,#ŋiskis#
#kuŋkuŋ#,#ŋoŋkoŋ#
