input,output
#aku#,#aku#
#ʔapedʒux#,#apodʒu#
#asu#,#asu#
#ʔabu#,#awu#
#alaʔ#,#aja#
#baliw#,#bali#
#bilaŋ#,#bila#
#beŋbeŋ#,#bobo#
#bekas#,#boka#
#beriʔ#,#bori#
#buuŋ#,#buu#
#buled#,#buju#
#ʔadʒaw#,#eo#
#i#,#i#
#ʔia#,#ia#
#ian#,#ia#
#ipit#,#impi#
#ʔinep#,#ina#
#ina#,#ine#
#isa#,#isa#
#zalan#,#dʒaja#
#dilaʔ#,#dʒila#
#kedi#,#kodi#
#kudʒa#,#kudʒa#
#kukuŋ#,#kuku#
#kuŋkuŋ#,#kuku#
#kukuŋ#,#kuku#
#kuden#,#kura#
#lahud#,#lau#
#lima#,#lima#
#lekab#,#loka#
#baju#,#mbadʒu#
#babuj#,#mbawu#
#babuj#,#wawu#
#mula#,#mula#
#nu#,#nu#
#ʔemʔem#,#omo#
#enem#,#ono#
#ʔetaʔ#,#onta#
#paen#,#opa#
#ʔetut#,#otu#
#pa#,#pa#
#padʒaj#,#pae#
#paheku#,#paku#
#palu#,#palu#
#panaʔ#,#pana#
#paŋa#,#paŋa#
#paʔa#,#paʔa#
#piliʔ#,#pili#
#pitu#,#pitu#
#peceʔ#,#poso#
#ʔapucuk#,#puncu#
#punaj#,#pune#
#punti#,#punti#
#danaw#,#rano#
#dalem#,#raja#
#di#,#ri#
#sekel#,#seŋko#
#sikux#,#siku#
#silaʔ#,#sila#
#sipsip#,#sisi#
#susu#,#susu#
#suked#,#suŋko#
#tebek#,#tobo#
#telu#,#tou#
#tuzuʔ#,#tudʒu#
#tubah#,#tuwa#
#tulani#,#tujali#
#ʔudaŋ#,#ura#
#ʔuluh#,#uju#
#batux#,#watu#
#babaw#,#wawo#
#walu#,#waju#
#walu#,#walu#
#bedʒbedʒ#,#wewe#
#buaʔ#,#wua#
#buʔaja#,#wuadʒa#
#buuŋ#,#wuu#
#bubu#,#wuwu#
#buŋa#,#wuŋa#
#labiʔ#,#jabi#
#ŋadʒan#,#ŋaja#
#ŋaŋa#,#ŋaŋa#
#ŋidaw#,#ŋiro#
