input,output
#alaʔ#,#ala#
#amax#,#ama#
#asu#,#asu#
#balbal#,#babbaʔ#
#bahi#,#bai#
#bakuŋ#,#bakuŋ#
#batux#,#batu#
#batux#,#watu#
#bedʒbedʒ#,#bebeʔ#
#birbir#,#bibi#
#bilaŋ#,#bilaŋ#
#buʔaja#,#buaja#
#bubu#,#bubu#
#buluʔ#,#bulo#
#buled#,#buluʔ#
#buŋa#,#buŋa#
#enem#,#enneŋ#
#ʔetut#,#ettuʔ#
#ɡajaŋ#,#ɡadʒaŋ#
#ina#,#ina#
#kawit#,#kaiʔ#
#lahud#,#lauʔ#
#lecik#,#lessik#
#lima#,#lima#
#liduŋ#,#linruŋ#
#manuk#,#manuk#
#palu#,#palu#
#pikuʔ#,#pikku#
#pitu#,#pitu#
#ʔapucuk#,#pucuʔ#
#punaj#,#punne#
#di#,#ri#
#depah#,#rəppa#
#sapaw#,#sao#
#tebek#,#tebbaʔ#
#telu#,#tellu#
#tukad#,#tukaʔ#
#buaʔ#,#ua#
#ʔudʒiŋ#,#usiŋ#
#bales#,#waleʔ#
#baseʔ#,#wasa#
#betak#,#weta#
#bituʔen#,#wittuŋ#
#bukas#,#wukkaʔ#
#ŋilu#,#ŋilu#
