input,output
#ʔalep#,#alof#
#ʔabu#,#apu#
#ʔasawa#,#asaɡua#
#zalan#,#chalan#
#pasu#,#fasu#
#padʒaj#,#faʔi#
#pitu#,#fitu#
#pidʒax#,#fiʔa#
#puluʔ#,#fuluʔ#
#ia#,#ɡuija#
#enem#,#ɡunum#
#aku#,#ɡwahu#
#walu#,#ɡwalu#
#kawit#,#haɡwet#
#kalih#,#hali#
#dalem#,#halom#
#daja#,#haja#
#demdem#,#homhom#
#lahud#,#laɡu#
#lawas#,#laɡuas#
#liduŋ#,#liheŋ#
#lima#,#lima#
#manu#,#manu#
#na#,#na#
#ŋadʒan#,#naʔan#
#nipen#,#nifen#
#bakbak#,#pappa#
#buaʔ#,#puɡwaʔ#
#bituʔen#,#putiʔon#
#si#,#si#
#susu#,#susu#
#taktak#,#taktak#
#tamtam#,#tamtam#
#tata#,#tata#
#tektek#,#toktok#
#tuduʔ#,#tuhoʔ#
#telu#,#tulu#
#tutuh#,#tutu#
#ʔudaŋ#,#uhaŋ#
#ʔuledʒ#,#uloʔ#
#ʔuluh#,#ulu#
#ʔumaŋ#,#umaŋ#
#ʔenaj#,#unai#
#ɲamɲam#,#ɲamɲam#
