input,output
#amax#,#ama#
#asu#,#asu#
#aku#,#au#
#esa#,#eha#
#baba#,#haha#
#babuj#,#hahi#
#bales#,#halas#
#batux#,#hatu#
#buʔaja#,#hea#
#beli#,#heli#
#betak#,#heta#
#ʔasawa#,#hoa#
#bubu#,#huhu#
#buŋa#,#huna#
#isi#,#ihi#
#ina#,#ina#
#ita#,#ita#
#kalih#,#kali#
#lima#,#lima#
#likud#,#liu#
#manuk#,#manu#
#ŋadʒan#,#nean#
#enem#,#nen#
#dalem#,#ralan#
#zalan#,#sala#
#susu#,#susu#
#telu#,#telu#
#tektek#,#tete#
#tiktik#,#titi#
#ʔuaj#,#ua#
#puki#,#ui#
#ʔudaŋ#,#uraŋ#
#baseʔ#,#wase#
