input,output
#belaʔ#,#bola#
#danaw#,#drano#
#tulani#,#dulali#
#tubah#,#duva#
#ka#,#ka#
#karut#,#kadru#
#kilala#,#kila#
#kiaw#,#kiokio#
#kuden#,#kuro#
#ladʒam#,#lasa#
#lahud#,#lau#
#laŋaw#,#laŋo#
#lima#,#lima#
#ni#,#ni#
#nimas#,#nima#
#enem#,#ono#
#daŋdaŋ#,#rara#
#zalan#,#sala#
#susu#,#sucu#
#telu#,#tolu#
#tuduʔ#,#turu#
#ʔuledʒ#,#ulo#
#ʔuluh#,#ulu#
#ʔudaŋ#,#ura#
#ʔumaŋ#,#uŋa#
#panaʔ#,#vana#
#batux#,#vatu#
#baba#,#vava#
#pidʒax#,#vica#
#piliʔ#,#vili#
#pitu#,#vitu#
#peceʔ#,#voca#
#beli#,#voli#
#peɲu#,#vonu#
#buaʔ#,#vua#
#punti#,#vudi#
#bubu#,#vuvu#
#walu#,#walu#
