input,output
#ala#,#ala#
#laŋesi#,#daŋsi#
#laŋsi#,#daŋsi#
#demdem#,#demdem#
#likaw#,#dikaw#
#lima#,#dima#
#luem#,#dowem#
#sibu#,#isbo#
#kaen#,#kan#
#kapkap#,#kapkap#
#kawajan#,#kawadʒan#
#kawit#,#kawit#
#manuk#,#manok#
#daŋdaŋ#,#menaŋʃaŋ#
#ni#,#ni#
#ulaw#,#olaw#
#padʒaj#,#paɡej#
#pespes#,#pespes#
#pidʒax#,#piɡa#
#pitu#,#pito#
#pukpuk#,#pokpok#
#saleŋ#,#saleŋ#
#zalan#,#ʃalan#
#daŋdaŋ#,#ʃaŋʃaŋ#
#dilaʔ#,#ʃila#
#si#,#si#
#sikux#,#siko#
#suksuk#,#soksok#
#susu#,#soso#
#tabukul#,#tabokol#
#tabtab#,#tabtab#
#takut#,#takot#
#tamtam#,#tamtam#
#tapus#,#tapos#
#tastas#,#tastas#
#tebek#,#tebek#
#telu#,#tedo#
#tektek#,#tektek#
#tiktik#,#tiktik#
#timidʒ#,#timid#
#tubah#,#toba#
#tukud#,#tokod#
#tuktuk#,#toktok#
#tulani#,#toladi#
#ŋalŋal#,#ŋalŋal#
#ŋadʒan#,#ŋaran#
