input,output
#apu#,#afu#
#ʔabu#,#ahu#
#amax#,#ama#
#enem#,#annam#
#ʔanup#,#anup#
#ʔetut#,#attut#
#ʔasawa#,#atawa#
#baseʔ#,#basa#
#batux#,#batu#
#bales#,#balat#
#betak#,#battak#
#bilaŋ#,#bilaŋ#
#bituʔen#,#bittwan#
#demdem#,#dandam#
#zalan#,#dalan#
#zawa#,#dawa#
#bukidʒ#,#hukiɡ#
#buaʔ#,#hwa#
#buʔaja#,#hwaja#
#buluʔ#,#hulu#
#buŋa#,#huŋa#
#iŋepis#,#impit#
#iŋpis#,#impit#
#ina#,#ina#
#isa#,#isa#
#ita#,#itta#
#kaka#,#kaka#
#kawit#,#kawit#
#likud#,#likud#
#lima#,#lima#
#laŋaw#,#laŋaw#
#manuk#,#manuk#
#ŋadʒan#,#nahan#
#paheku#,#paku#
#paŋa#,#paŋa#
#sikux#,#siku#
#sipit#,#sipit#
#telu#,#tallu#
#ʔumah#,#uma#
#utaʔ#,#uta#
#walu#,#walu#
#ja#,#ja#
#dilaʔ#,#zila#
#ʔapedʒux#,#adu#
#asu#,#atu#
#ʔudʒiŋ#,#uɡiŋ#
#ʔuluh#,#ulu#
#ʔuaj#,#uwaj#
#ʔuaŋ#,#uwaŋ#
#ŋipen#,#ŋipan#
