input,output
#a#,#a#
#aku#,#ako#
#ʔanup#,#anop#
#ʔapedʒux#,#apdo#
#apu#,#apo#
#apu#,#apo#
#sedʒep#,#asdep#
#tebek#,#atbek#
#teda#,#atda#
#teneb#,#atneb#
#tepeŋ#,#atpeŋ#
#ʔabaŋ#,#avaŋ#
#ʔabu#,#avo#
#ʔalad#,#axad#
#alap#,#axap#
#ai#,#aj#
#ʔaʔaj#,#aji#
#ʔenaj#,#aʔnaj#
#paen#,#aʔpan#
#kiskis#,#chischis#
#di#,#di#
#ʔemʔem#,#emʔem#
#ɡajaŋ#,#ɡajaŋ#
#depah#,#hadpa#
#haŋut#,#haŋot#
#hulhul#,#holhol#
#ia#,#ia#
#ina#,#ina#
#kalih#,#kali#
#kamaja#,#kamaja#
#kaen#,#kan#
#kabal#,#kavax#
#kawajan#,#kawajan#
#kudkud#,#kokod#
#lima#,#lima#
#manuk#,#manok#
#mula#,#moxa#
#mudʒiŋ#,#mojiɲ#
#ni#,#ni#
#ʔu#,#o#
#ʔumaŋ#,#omaŋ#
#ʔudʒiŋ#,#oriɲ#
#utaʔ#,#ota#
#ʔuledʒ#,#oxed#
#ʔuluh#,#oxo#
#pa#,#pa#
#paʔa#,#paa#
#pakpak#,#pakpaken#
#panaʔ#,#pana#
#padʒaj#,#paraj#
#paid#,#pajid#
#paŋa#,#paŋa#
#piliʔ#,#pili#
#pidʒax#,#pirah#
#pitu#,#pito#
#punaj#,#ponaj#
#puluʔ#,#poxo#
#daki#,#rachi#
#dakep#,#rakep#
#danaw#,#ranaw#
#zalan#,#raxan#
#demdem#,#remdem#
#deŋdeŋ#,#reŋreŋ#
#dilaʔ#,#rila#
#bedʒbedʒ#,#saavedved#
#seksek#,#seksek#
#sepsep#,#sepsep#
#seŋseŋ#,#seŋseŋ#
#si#,#si#
#sikux#,#sichoh#
#sipit#,#sipit#
#siwsiw#,#siwsiw#
#suksuk#,#soksok#
#susu#,#soso#
#taktak#,#taktak#
#tapis#,#tapis#
#tastas#,#tastas#
#talaw#,#taxaw#
#tektek#,#tektek#
#tiktik#,#tichtich#
#tinun#,#tinon#
#titu#,#tito#
#tukud#,#tokod#
#tuktuk#,#toktok#
#tuduʔ#,#toro#
#tubah#,#tova#
#bakuŋ#,#vakoŋ#
#baɲaw#,#vanaw#
#barat#,#varat#
#baseʔ#,#vasa#
#batux#,#vato#
#balaŋa#,#vaxaŋa#
#bedʒbedʒ#,#vedved#
#beŋbeŋ#,#veŋbeŋ#
#bilaŋ#,#vilaŋ#
#wili#,#vili#
#bitbit#,#vitbit#
#bituʔen#,#vitoen#
#bituʔen#,#vitwen#
#buaʔ#,#voa#
#buaʔ#,#vwa#
#bukidʒ#,#vochid#
#walu#,#waxu#
#lawa#,#xawa#
#lahud#,#xawod#
#laju#,#xajo#
#laŋaw#,#xaŋaw#
#laŋu#,#xaŋo#
#ian#,#jan#
#ŋipen#,#ɲipen#
#ŋadʒan#,#ŋaran#
#ŋawŋaw#,#ŋawŋaw#
#ŋusuʔ#,#ŋoso#
