input,output
#ai#,#ai#
#aku#,#aku#
#alap#,#alap#
#ʔapedʒux#,#amperu#
#ʔaseb#,#aseb#
#asu#,#asu#
#ʔabu#,#awu#
#babuj#,#babi#
#bakuŋ#,#bakuŋ#
#baseʔ#,#basah#
#buʔaja#,#baja#
#bedʒbedʒ#,#bebed#
#belaʔ#,#belah#
#bedul#,#beɳɖul#
#bubu#,#bubu#
#buhet#,#but#
#zalan#,#dalan#
#dalem#,#dalem#
#dekep#,#dekep#
#dekep#,#ɖekep#
#ʔetut#,#entut#
#ʔiuŋ#,#eoŋ#
#ɡusi#,#ɡusi#
#i#,#i#
#ʔia#,#ia#
#ʔinep#,#inep#
#ʔidus#,#irus#
#isi#,#isi#
#ʔitik#,#iʈik#
#kaka#,#kaka#
#kakak#,#kakak#
#kelem#,#kelem#
#kurap#,#kurap#
#kudis#,#kuɖis#
#laju#,#laju#
#laŋu#,#laŋu#
#lima#,#lima#
#lubaŋ#,#luwaŋ#
#palu#,#malu#
#manuk#,#manuk#
#badʒaʔ#,#marah#
#peɲu#,#meɲu#
#pitpit#,#mipit#
#pitu#,#mitu#
#puluŋ#,#muluŋ#
#zalan#,#nalan#
#tama#,#nama#
#enem#,#nem#
#tenun#,#nenun#
#depah#,#nəpa#
#palu#,#palu#
#padʒaj#,#pari#
#pantuk#,#patuk#
#patuk#,#patuk#
#pantuk#,#paʈok#
#patuk#,#paʈok#
#peɲu#,#peɲu#
#piliʔ#,#pilih#
#pitpit#,#pipit#
#pidʒax#,#pira#
#pitu#,#pitu#
#ʔapucuk#,#pucuk#
#puki#,#puki#
#putun#,#puʈul#
#piuk#,#pejok#
#duŋkuŋ#,#ruŋkuŋ#
#dukuŋ#,#ruŋkuŋ#
#sa#,#sa#
#ʔasepa#,#sepa#
#seksek#,#sesek#
#selsel#,#sesel#
#sikux#,#siku#
#silaʔ#,#silah#
#susu#,#susu#
#suksuk#,#susuk#
#tastas#,#tatas#
#telu#,#telu#
#tektek#,#tetek#
#tik#,#tik#
#tubah#,#tuba#
#tudiŋ#,#tudiŋ#
#tuzuʔ#,#tuduh#
#tuduʔ#,#turuh#
#tuktuk#,#tutuk#
#tukul#,#tukul#
#ʔuledʒ#,#uler#
#ʔules#,#ules#
#ʔuluh#,#ulu#
#ʔudip#,#urip#
#utaʔ#,#utah#
#ʔudaŋ#,#uɖaŋ#
#ʔudaŋ#,#uraŋ#
#bales#,#wales#
#basuʔ#,#wasuh#
#batux#,#watu#
#beties#,#wentis#
#beŋbeŋ#,#weŋweŋ#
#buaʔ#,#woh#
#bukidʒ#,#wukir#
#buluʔ#,#wuluh#
#budʒeʔ#,#wuruh#
#bubu#,#wuwu#
#sikux#,#ɲiku#
#kepit#,#ŋempit#
#ɡutɡut#,#ŋuɡut#
#demdem#,#ɖemɖem#
#depah#,#ɖəpa#
