input,output
#asu#,#ahu#
#ai#,#ai#
#amax#,#ama#
#ʔabu#,#au#
#aja#,#aja#
#aja#,#aja#
#bales#,#balahu#
#bilaŋ#,#bila#
#bukas#,#bukahu#
#buŋa#,#buŋa#
#bukas#,#buŋɡahu#
#beriʔ#,#bari#
#sipit#,#hipitu#
#sikux#,#hiu#
#susu#,#huhu#
#i#,#i#
#i#,#i#
#isa#,#iha#
#isi#,#ihi#
#ina#,#ina#
#lahud#,#laura#
#labiʔ#,#lebi#
#lima#,#lima#
#palu#,#palu#
#panaʔ#,#pana#
#padʒaj#,#pari#
#pidʒax#,#pira#
#demdem#,#runduŋu#
#depah#,#rapa#
#taku#,#taku#
#tulani#,#taleli#
#tik#,#tiku#
#tubah#,#tuwa#
#tekiʔ#,#taki#
#telu#,#tilu#
#telu#,#tailu#
#tenun#,#tinuŋu#
#ulaŋ#,#ulaŋu#
#ʔuluh#,#ulu#
#udʒuŋ#,#uru#
#walu#,#walu#
#buaʔ#,#wua#
#kuden#,#wuruŋu#
#betik#,#watiku#
#beli#,#wili#
#ŋaŋa#,#ŋaŋa#
