input,output
#ʔumah#,#uma#
#ʔabu#,#abu#
#aku#,#aku#
#ʔataʔ#,#atah#
#baba#,#baba#
#babuj#,#babi#
#badʒaʔ#,#baɡah#
#balbal#,#balbal#
#basbas#,#basbas#
#basbas#,#basbas#
#basuʔ#,#basuh#
#batux#,#batu#
#belaʔ#,#belah#
#balaŋa#,#belaŋa#
#beŋbeŋ#,#beŋbeŋ#
#bilaŋ#,#bilaŋ#
#buaʔ#,#buah#
#buʔaja#,#buaja#
#bubu#,#bubu#
#buluʔ#,#buluh#
#buŋa#,#buŋa#
#bukas#,#buŋkas#
#zalan#,#dalan#
#zawa#,#dawa#
#depah#,#depa#
#dilaʔ#,#dilah#
#paen#,#empan#
#enem#,#enem#
#ɡusɡus#,#ɡusɡus#
#ɡuŋɡuŋ#,#ɡuŋɡuŋ#
#ɡemɡem#,#ɡəmɡəm#
#i#,#i#
#ia#,#ia#
#ʔia#,#ia#
#hisep#,#incep#
#isi#,#isi#
#ita#,#ita#
#kaka#,#kaka#
#kawil#,#kawil#
#kawit#,#kawit#
#kelem#,#kelem#
#kudʒa#,#kuɡa#
#lakup#,#laŋkup#
#lebeŋ#,#lebeŋ#
#litlit#,#lilit#
#lima#,#lima#
#lubaŋ#,#lubaŋ#
#palu#,#malu#
#mamah#,#mama#
#manuk#,#manuk#
#bukas#,#mbuŋkas#
#buŋa#,#muŋa#
#daki#,#ndaki#
#ni#,#ni#
#ʔanibuŋ#,#nibuŋ#
#nu#,#nu#
#tutuh#,#nutu#
#padʒaj#,#paɡe#
#paheku#,#paku#
#panaʔ#,#panah#
#pantuk#,#pantuk#
#patuk#,#pantuk#
#peceʔ#,#pecah#
#ʔapedʒux#,#peɡu#
#pekpek#,#pekpek#
#pespes#,#pespes#
#piak#,#piak#
#pidʒax#,#piɡa#
#pikpik#,#pikpik#
#pitpit#,#pitpit#
#pitu#,#pitu#
#piuk#,#piuk#
#pukpuk#,#pukpuk#
#puluŋ#,#puluŋ#
#punaj#,#pune#
#sapaj#,#sampe#
#si#,#si#
#sikux#,#siku#
#taktak#,#taktak#
#tebek#,#tebek#
#telu#,#telu#
#tepuk#,#tepuk#
#tubah#,#tuba#
#tuzuʔ#,#tuduh#
#ʔuluh#,#ulu#
#ŋaŋa#,#ŋaŋa#
#ŋetŋet#,#ŋetŋet#
#ŋilu#,#ŋilu#
#ŋitŋit#,#ŋitŋit#
