input,output
#aku#,#aku#
#ʔaɲud#,#anod#
#ʔalad#,#arad#
#ʔasawa#,#asawa#
#aja#,#aja#
#baseʔ#,#basaʔ#
#batux#,#bato#
#bilaŋ#,#bilaŋ#
#bitbit#,#bitbit#
#bituʔen#,#bitoon#
#buʔaja#,#boaja#
#bubu#,#bobo#
#bukas#,#bokas#
#buhet#,#boot#
#buaʔ#,#bowaʔ#
#buŋa#,#boŋa#
#bedʒbedʒ#,#budbud#
#badʒaʔ#,#baraʔ#
#budʒeʔ#,#boraʔ#
#daki#,#daki#
#dakep#,#dakup#
#danaw#,#danaw#
#zalan#,#daran#
#dalem#,#darum#
#zawa#,#dawa#
#daŋdaŋ#,#daŋdaŋ#
#demdem#,#dumdum#
#depah#,#dupa#
#dakep#,#dakup#
#dilaʔ#,#dilaʔ#
#kaen#,#kaan#
#kakak#,#kakak#
#kalaw#,#karaw#
#kalih#,#kari#
#kawajan#,#kawajan#
#kilala#,#kilara#
#kipit#,#kimpit#
#kiskis#,#kiskis#
#kuden#,#koron#
#labiʔ#,#labi#
#lawaʔ#,#lawaʔ#
#lahud#,#lawud#
#laŋaw#,#laŋaw#
#likud#,#likod#
#lapaʔ#,#lapaʔ#
#lima#,#lima#
#manuk#,#manok#
#ɲamɲam#,#nanam#
#nadʒam#,#naram#
#ni#,#ni#
#ʔumaŋ#,#omaŋ#
#pa#,#pa#
#paʔa#,#paa#
#paheku#,#pako#
#pakpak#,#pakpak#
#pikpik#,#pikpik#
#piliʔ#,#piliʔ#
#pitu#,#pito#
#piak#,#pijak#
#pukpuk#,#pokpok#
#punaj#,#ponaj#
#pidʒax#,#pila#
#saʔit#,#sait#
#saksak#,#saksak#
#saŋedaj#,#sandaj#
#saleŋ#,#saruŋ#
#si#,#si#
#sikux#,#siko#
#sipit#,#sipit#
#suksuk#,#soksok#
#susu#,#soso#
#taʔan#,#taan#
#takes#,#takus#
#talaw#,#taraw#
#tubah#,#toba#
#telu#,#toro#
#ʔaɲud#,#anod#
#ŋadʒan#,#ŋaran#
#ŋaŋa#,#ŋaŋa#
