input,output
#ʔadʒaw#,#ao#
#au#,#ao#
#zalan#,#ara#
#aku#,#au#
#ʔauŋ#,#au#
#esa#,#he#
#pidʒax#,#hia#
#pidʒax#,#whia#
#peɲu#,#honu#
#buaʔ#,#hua#
#i#,#i#
#ia#,#ia#
#ʔuledʒ#,#iro#
#ʔitik#,#iti#
#kalih#,#kari#
#kita#,#kite#
#manuk#,#manu#
#nipen#,#niho#
#ʔenaj#,#one#
#enem#,#ono#
#ʔetaʔ#,#ota#
#pantuk#,#patu#
#patuk#,#patu#
#buaʔ#,#pua#
#bua#,#pua#
#dalem#,#raro#
#laŋaw#,#raŋo#
#dikit#,#riki#
#lima#,#rima#
#telu#,#toru#
#tuduʔ#,#turu#
#ʔudaŋ#,#ura#
#ʔuluh#,#uru#
#waʔaj#,#wae#
#baba#,#waha#
#babaw#,#waho#
#walu#,#waru#
#batux#,#whatu#
#piliʔ#,#whiri#
#pitu#,#whitu#
#ŋusuʔ#,#ŋutu#
#susu#,#uː#
