input,output
#aku#,#akəw#
#asu#,#asew#
#ai#,#aj#
#baseʔ#,#basaʔ#
#batux#,#batəw#
#buʔaja#,#baja#
#bedʒbedʒ#,#bebed#
#beli#,#belej#
#beties#,#betih#
#buaʔ#,#buaʔ#
#bubu#,#bubew#
#dalem#,#daləm#
#danaw#,#danaw#
#ʔiaw#,#iaw#
#inu#,#inew#
#zalan#,#dʒalan#
#kawit#,#kawit#
#lasuʔ#,#lasuʔ#
#lemek#,#lemek#
#lima#,#lima#
#manuk#,#manuəʔ#
#ʔenaj#,#naj#
#enem#,#nem#
#padʒaj#,#padaj#
#ʔapedʒux#,#pedew#
#pekpek#,#pepek#
#piliʔ#,#piliʔ#
#ʔesak#,#sak#
#sapaw#,#sapaw#
#ʔasawa#,#sawa#
#sikux#,#sikəw#
#susu#,#susəw#
#si#,#sə#
#sepsep#,#səsəp#
#ʔetaʔ#,#taʔ#
#tebek#,#tebek#
#tubah#,#tuba#
#tuzuʔ#,#tudʒuʔ#
#telu#,#tələw#
#ʔuaj#,#uaj#
#ʔudip#,#udip#
#udʒuŋ#,#uduŋ#
#ʔuledʒ#,#uled#
#ʔuluh#,#ulew#
#ʔumah#,#uma#
#utaʔ#,#utaʔ#
#ɲamɲam#,#ɲam#
#ŋadʒan#,#ŋadan#
#ŋetŋet#,#ŋeŋet#
#ŋetŋet#,#ŋuŋet#
