input,output
#amax#,#ama#
#baseʔ#,#bhaho#
#batux#,#bhatu#
#daŋdaŋ#,#dada#
#paʔa#,#faɡha#
#pitu#,#fitu#
#ʔabu#,#ɡhabu#
#ʔaʔaj#,#ɡhaɡhe#
#ʔalad#,#ɡhala#
#ʔetut#,#ɡhotu#
#ʔuaj#,#ɡhue#
#ʔuledʒ#,#ɡhule#
#ʔudaŋ#,#ɡhura#
#kawit#,#kai#
#labiʔ#,#labhi#
#dalem#,#lalo#
#laju#,#leu#
#lima#,#lima#
#manuk#,#manuk#
#ŋadʒan#,#nea#
#padʒaj#,#pae#
#palu#,#palu#
#panaʔ#,#pana#
#pacek#,#paso#
#padeŋ#,#peo#
#piliʔ#,#pili#
#pitu#,#pitu#
#peɲu#,#ponu#
#ʔapucuk#,#pusu#
#dakep#,#rako#
#depah#,#rofa#
#demdem#,#rondo#
#zalan#,#sala#
#saŋedaj#,#sande#
#kalih#,#seli#
#sikux#,#siku#
#sipit#,#sipi#
#ʔasawa#,#soa#
#sepsep#,#soso#
#suli#,#suli#
#telu#,#tolu#
#tuked#,#tuko#
#tuduʔ#,#turu#
#tusuk#,#tusu#
#tuzuʔ#,#tusu#
#tubah#,#tuwa#
#babuj#,#wewi#
