input,output
#ai#,#ai#
#alaʔ#,#ala#
#ʔauŋ#,#au#
#ʔabu#,#avu#
#baseʔ#,#basa#
#baliw#,#bhale#
#buaʔ#,#bua#
#depah#,#depa#
#ʔenaj#,#ena#
#esa#,#esa#
#bahi#,#fai#
#i#,#i#
#ina#,#ina#
#ipit#,#ipi#
#isi#,#isi#
#ʔiuŋ#,#iu#
#kaen#,#ka#
#kedi#,#kedi#
#mamah#,#mama#
#manuk#,#manu#
#mula#,#mula#
#ʔuluh#,#olo#
#paʔa#,#paa#
#paheku#,#paku#
#palu#,#palu#
#pasek#,#paso#
#paŋa#,#paŋa#
#ʔapedʒux#,#pedu#
#piliʔ#,#pili#
#pidʒax#,#piza#
#ludaʔ#,#rura#
#sakat#,#saka#
#sikux#,#siku#
#susu#,#susu#
#telu#,#telu#
#tenun#,#tenu#
#tubah#,#tuva#
#ʔuaj#,#ua#
#ʔuluh#,#ulu#
#ʔuledʒ#,#ule#
#ʔumah#,#uma#
#babuj#,#vavi#
#babaw#,#vavo#
#beties#,#veti#
#buluʔ#,#vulu#
#daki#,#zaki#
#ŋadʒan#,#ŋaza#
#ŋaŋa#,#ŋaŋa#
