input,output
#batux#,#bato#
#bitbit#,#biʔbit#
#bukidʒ#,#bukid#
#buled#,#bulud#
#buŋa#,#buŋa#
#bedʒbedʒ#,#bedbed#
#buŋa#,#buŋa#
#dilaʔ#,#dilaʔ#
#debdeb#,#dəbdəb#
#kilala#,#kilala#
#lawaʔ#,#lawaʔ#
#lima#,#lima#
#manuk#,#manok#
#nipen#,#nipɨn#
#pidʒax#,#pira#
#pitu#,#pito#
#punti#,#punti#
#sepsep#,#sepsep#
#sikux#,#siko#
#tata#,#tata#
#aku#,#ʔako#
#ʔanibuŋ#,#ʔanibuŋ#
#ʔasawa#,#ʔasawa#
#ʔaʔaj#,#ʔaʔaj#
#enem#,#ʔenem#
#ʔenaj#,#ʔenaj#
#esa#,#ʔesa#
#isi#,#ʔisi#
#udʒuŋ#,#ʔuruŋ#
#ʔabu#,#ʔabo#
#ʔalad#,#ʔalad#
