input,output
#ita#,#ta#
#a#,#a#
#ʔalad#,#alar#
#amax#,#ama#
#amin#,#amin#
#ʔanup#,#anop#
#ʔaɲud#,#anor#
#ʔapedʒux#,#apɡo#
#apu#,#apo#
#ʔasawa#,#asawa#
#asu#,#aso#
#ai#,#aj#
#badʒaʔ#,#baɡa#
#bakbak#,#bakbak#
#bales#,#bales#
#baseʔ#,#basa#
#batux#,#bato#
#betak#,#betak#
#bilaŋ#,#bilaŋ#
#bituʔen#,#bitewen#
#bukidʒ#,#bokiɡ#
#buŋa#,#boŋa#
#buʔaja#,#buaja#
#baʔi#,#bai#
#dalajap#,#dalajap#
#zalan#,#dalan#
#dalem#,#dalem#
#zawa#,#dawa#
#dilaʔ#,#dila#
#duma#,#duma#
#daŋdaŋ#,#daŋdaŋ#
#ʔetaʔ#,#eta#
#ina#,#ina#
#isa#,#isa#
#kabit#,#kabit#
#kalih#,#kali#
#kapkap#,#kapkap#
#kawajan#,#kawaja#
#kawil#,#kawil#
#kupit#,#kopit#
#lemek#,#lemek#
#likaw#,#likaw#
#lima#,#lima#
#lama#,#lama#
#manuk#,#manok#
#mulmul#,#molmol#
#mudʒiŋ#,#moliŋ#
#ɲamɲam#,#nanam#
#ʔuledʒ#,#oleɡ#
#ʔules#,#oles#
#ʔuluh#,#olo#
#ʔuman#,#oman#
#ʔudaŋ#,#oraŋ#
#ʔudʒiŋ#,#oriŋ#
#utaʔ#,#ota#
#padʒaj#,#paɡej#
#pakpak#,#pakpak#
#paheku#,#pako#
#panaʔ#,#pana#
#pespes#,#pespes#
#pidʒax#,#piɡa#
#pitu#,#pito#
#puluʔ#,#polo#
#paliʔ#,#pali#
#saksak#,#saksak#
#saʔit#,#sait#
#si#,#si#
#sikux#,#siko#
#siwsiw#,#siwsiw#
#su#,#so#
#suksuk#,#soksok#
#susu#,#soso#
#sipit#,#sipit#
#takut#,#takot#
#telu#,#talo#
#timidʒ#,#timir#
#walu#,#walo#
#apu#,#apo#
#iŋepis#,#impis#
#iŋpis#,#impis#
#ŋalŋal#,#ŋalŋal#
#ŋadʒan#,#ŋaran#
#ŋipen#,#ŋipen#
#ŋusŋus#,#ŋosŋos#
#ŋaŋa#,#ŋaŋa#
