input,output
#amax#,#ama#
#adi#,#aɖi#
#badʒiw#,#baliw#
#betuŋ#,#betuŋ#
#buaʔ#,#bua#
#buʔaja#,#buaja#
#buhaŋ#,#buaŋ#
#budʒeʔ#,#bureʔ#
#buhet#,#but#
#buluʔ#,#buƚu#
#da#,#da#
#danaw#,#danaw#
#zawa#,#dawa#
#zalan#,#daɭan#
#disdis#,#disdis#
#depah#,#dəpa#
#enem#,#enem#
#ɡisɡis#,#ɡisɡis#
#ɡiŋɡiŋ#,#ɡiŋɡiŋ#
#ɡusɡus#,#ɡusɡus#
#ɡutɡut#,#ɡutɡut#
#ɡetil#,#ɡətiɭ#
#ina#,#ina#
#isi#,#isi#
#kabus#,#kabus#
#kakak#,#kakak#
#kali#,#kari#
#kawajan#,#kawajan#
#kawil#,#kawiɭ#
#kaŋkaŋ#,#kaŋkaŋ#
#kelip#,#kerip#
#kudʒa#,#kuda#
#kurap#,#kurap#
#kuti#,#kuti#
#lasuʔ#,#lasuʔ#
#laŋesi#,#laŋsi#
#laŋsi#,#laŋsi#
#lekab#,#ləkab#
#maʔaw#,#maʔaw#
#mesmes#,#məsməs#
#na#,#na#
#ni#,#ni#
#numa#,#numa#
#pakpak#,#pakpak#
#panaʔ#,#panaʔ#
#pasu#,#pasu#
#paʔa#,#paʔa#
#peceʔ#,#peseʔ#
#piad#,#piaɖ#
#pitpit#,#pitpit#
#pitu#,#pitu#
#piluk#,#piɭuk#
#pudʒek#,#pudek#
#pudu#,#pudu#
#pukpuk#,#pukpuk#
#punaj#,#punaj#
#putun#,#putun#
#puluʔ#,#puɭuʔ#
#peɲu#,#pənu#
#pespes#,#pəspəs#
#pedel#,#pəɖəɭ#
#lawas#,#rawas#
#lubaŋ#,#ruvaŋ#
#saksak#,#saksak#
#samaʔ#,#samaʔ#
#sapaj#,#sapaj#
#saʔit#,#saʔit#
#sikux#,#siku#
#silaʔ#,#silaʔ#
#sipiŋ#,#sipiŋ#
#sipsip#,#sipsip#
#siwaʔ#,#siwaʔ#
#siwsiw#,#siwsiw#
#suksuk#,#suksuk#
#sulud#,#sulud#
#supaj#,#supaj#
#suŋa#,#suŋa#
#sebu#,#səbu#
#sepiʔ#,#səpiʔ#
#tabukul#,#tabukul#
#taɲam#,#talam#
#tamtam#,#tamtam#
#tadaw#,#taɖaw#
#tenem#,#tenem#
#telu#,#teɭu#
#tikel#,#tiker#
#tiktik#,#tiktik#
#timidʒ#,#timiz#
#tuktuk#,#tuktuk#
#tukud#,#tukuɖ#
#tusuk#,#tusuk#
#tuzuʔ#,#tuɖuʔ#
#tebteb#,#təbtəb#
#tektek#,#təktək#
#tenun#,#tənun#
#tenem#,#tənəm#
#tenem#,#tənəm#
#tepuk#,#təpuk#
#upup#,#upʔup#
#uŋaj#,#uŋaj#
#bales#,#vares#
#babuj#,#vavuj#
#bes#,#ves#
#bulilik#,#vuririk#
#walu#,#waru#
#waʔit#,#waʔit#
#ŋajaw#,#ŋajaw#
#ŋerŋer#,#ŋerŋer#
#ŋitŋit#,#ŋitŋit#
#ŋesŋes#,#ŋəsŋəs#
#ŋetŋet#,#ŋətŋət#
#daŋdaŋ#,#ɖaŋɖaŋ#
#duma#,#ɖuma#
#dekdek#,#ɖəkɖək#
#kaen#,#əkan#
#ladʒam#,#ɭadam#
#lapaʔ#,#ɭapaʔ#
#lapus#,#ɭapus#
#lawas#,#ɭawas#
#lidam#,#ɭidam#
#likaw#,#ɭikaw#
#likud#,#ɭikuɖ#
#lima#,#ɭima#
#lipas#,#ɭipas#
#lubuk#,#ɭubuk#
#lupas#,#ɭupas#
#lebleb#,#ɭəbɭəb#
#ledep#,#ɭəɖəp#
#ledled#,#ɭəɖɭəɖ#
#susu#,#ʃuʃu#
#ʔulas#,#ʔuɭas#
#ʔuledʒ#,#ʔuɭəd#
