input,output
#ʔabu#,#afu#
#amax#,#ama#
#ami#,#ami#
#asu#,#asu#
#ata#,#ata#
#aku#,#au#
#babuj#,#bafi#
#beli#,#beli#
#buaʔ#,#boa#
#bubu#,#bufu#
#zalan#,#dala#
#dalem#,#dale#
#danaw#,#dano#
#diteʔ#,#dite#
#esa#,#esa#
#badʒaʔ#,#fada#
#walu#,#falu#
#budʒeʔ#,#fude#
#padʒaj#,#hade#
#ʔapedʒux#,#hedu#
#pitu#,#hitu#
#punti#,#huni#
#ina#,#ina#
#isi#,#isi#
#kalih#,#kali#
#kati#,#kati#
#laŋu#,#laŋu#
#lima#,#lima#
#mulmul#,#mumu#
#palu#,#palu#
#ʔasawa#,#sao#
#susu#,#suʔu#
#telu#,#telu#
#timidʒ#,#timi#
#tuzuʔ#,#tudu#
#tubah#,#tufa#
#ʔuaj#,#ue#
#ʔuluh#,#ulu#
