input,output
#zalan#,#ala#
#ʔadʒaw#,#aso#
#ata#,#ata#
#aku#,#aʔu#
#baba#,#fafa#
#babaw#,#fafo#
#panaʔ#,#fana#
#bituʔen#,#fetuː#
#pidʒax#,#fia#
#piliʔ#,#fili#
#pitu#,#fitu#
#peceʔ#,#foa#
#buaʔ#,#fua#
#putput#,#futi#
#buŋa#,#fuŋa#
#i#,#i#
#ia#,#ia#
#ʔia#,#ia#
#ʔuledʒ#,#ilo#
#dalem#,#lalo#
#danaw#,#lano#
#ladʒam#,#lata#
#laŋaw#,#laŋo#
#lima#,#lima#
#manuk#,#manu#
#nipen#,#nifo#
#ʔenaj#,#one#
#enem#,#ono#
#ʔetaʔ#,#ota#
#sapet#,#sapo#
#esa#,#se#
#supsup#,#susu#
#susu#,#susu#
#telu#,#tolu#
#tuktuk#,#tutu#
#ʔudaŋ#,#ula#
#kuden#,#ulo#
#ʔuluh#,#ulu#
#ʔumaŋ#,#uŋa#
#waʔaj#,#vae#
#walu#,#valu#
#ŋusuʔ#,#ŋutu#
#kiaw#,#ʔio#
#ketil#,#ʔoti#
