input,output
#alap#,#alaʔ#
#ʔanup#,#anuʔ#
#asu#,#asu#
#ʔabu#,#awu#
#baliw#,#baliw#
#baliw#,#baluj#
#batux#,#batu#
#baba#,#bawa#
#babuj#,#bawi#
#bedʒbedʒ#,#bebideʔ#
#belaʔ#,#bellaʔ#
#beli#,#belli#
#buaʔ#,#bua#
#buʔaja#,#buala#
#bukidʒ#,#bukideʔ#
#bubu#,#buwu#
#buŋa#,#buŋa#
#buluʔ#,#buɭo#
#daja#,#dala#
#danaw#,#dano#
#zalan#,#daɭeŋ#
#dilaʔ#,#dila#
#depah#,#dəpa#
#ʔenaj#,#enne#
#enem#,#ennuŋ#
#esa#,#esa#
#ʔetut#,#etuʔ#
#i#,#i#
#ian#,#iaŋ#
#kaen#,#kaəŋ#
#labiʔ#,#labi#
#lahud#,#laudəʔ#
#laŋaw#,#laŋo#
#laŋu#,#laŋu#
#lekab#,#lekabeʔ#
#lima#,#lima#
#liduŋ#,#linduŋ#
#liduŋ#,#liruŋ#
#alikas#,#liŋkasəʔ#
#manuk#,#manuʔ#
#nadʒam#,#naraŋ#
#palu#,#palu#
#ʔapedʒux#,#pedu#
#peceʔ#,#pesaʔ#
#piku#,#piku#
#pidʒax#,#pira#
#pitu#,#pitu#
#punaj#,#pune#
#sabaj#,#sambe#
#sikux#,#siku#
#sipit#,#sipiʔ#
#susu#,#susu#
#takut#,#takuʔ#
#tapun#,#tampuŋ#
#tuduʔ#,#turo#
#tubah#,#tuwa#
#telu#,#təllu#
#ʔuaj#,#ue#
#ʔuledʒ#,#ulideʔ#
#ʔudaŋ#,#uraŋ#
#ʔuluh#,#uɭu#
#walu#,#walu#
