input,output
#ʔabu#,#abo#
#aku#,#ako#
#amax#,#ama#
#ʔapedʒux#,#apdo#
#apu#,#apo#
#ʔasawa#,#asawa#
#ʔawʔaw#,#awʔaw#
#ai#,#aj#
#ʔaŋʔaŋ#,#aŋʔaŋ#
#baba#,#baba#
#bakuŋ#,#bakoŋ#
#balaŋa#,#balaŋaʔ#
#baliw#,#baliw#
#basbas#,#basbas#
#baseʔ#,#basaʔ#
#batux#,#bato#
#baju#,#bajo#
#bahi#,#bai#
#bahi#,#bajiʔ#
#baŋaw#,#baŋaw#
#bedʒbedʒ#,#bidbid#
#belaʔ#,#bilaʔ#
#beli#,#bili#
#bitbit#,#bitbit#
#betak#,#bitak#
#bituʔen#,#bituʔin#
#bukas#,#bukas#
#bulaw#,#bulaw#
#buʔaja#,#buaja#
#buhet#,#buʔot#
#bilaŋ#,#bilaŋ#
#bubu#,#bubo#
#buluʔ#,#buhoʔ#
#bukidʒ#,#bukid#
#buŋa#,#buŋa#
#dakep#,#dakip#
#daŋdaŋ#,#daraŋ#
#daŋdaŋ#,#daŋdaŋ#
#daŋdaŋ#,#dandaŋ#
#debdeb#,#dibdib#
#deles#,#dilis#
#depah#,#dipa#
#zalan#,#daan#
#zalan#,#daan#
#danaw#,#danaw#
#zawa#,#dawa#
#dalajap#,#dajap#
#dilaʔ#,#dilaʔ#
#ʔipit#,#impit#
#ina#,#ina#
#isa#,#isa#
#kabit#,#kabit#
#kakak#,#kakak#
#karkar#,#kalkal#
#kamaj#,#kamaj#
#kapkap#,#kapkap#
#kawajan#,#kawajan#
#kawil#,#kawil#
#kaŋkaŋ#,#kaŋkaŋ#
#kilala#,#kilala#
#ketil#,#kitil#
#kurkur#,#kulkol#
#kalaw#,#kalaw#
#kapit#,#kapit#
#kawit#,#kawit#
#kaen#,#kaʔin#
#kita#,#kita#
#labiʔ#,#labiʔ#
#rawraw#,#lawlaw#
#laŋu#,#laŋo#
#lebeŋ#,#libiŋ#
#likud#,#likod#
#demdem#,#limlim#
#lemlem#,#limlim#
#demdem#,#limlim#
#lima#,#lima#
#lipas#,#lipas#
#luludʒ#,#lulod#
#ludaʔ#,#luraʔ#
#dalem#,#lalim#
#lasuʔ#,#lasoʔ#
#laŋaw#,#laŋaw#
#likaw#,#likaw#
#manuk#,#manok#
#mudaʔ#,#muraʔ#
#na#,#na#
#ɲamɲam#,#namnam#
#ɲamɲam#,#linamnam#
#ni#,#ni#
#pa#,#pa#
#pakpak#,#pakpak#
#pariuk#,#palajok#
#pariuk#,#paljok#
#paliʔ#,#paliʔ#
#paŋa#,#paŋa#
#pikpik#,#pikpik#
#piliʔ#,#piliʔ#
#piluk#,#pilok#
#peceʔ#,#pisaʔ#
#pisel#,#pisil#
#pitu#,#pito#
#piak#,#pijak#
#pukpuk#,#pukpok#
#putun#,#putol#
#padʒaj#,#palaj#
#palu#,#paloʔ#
#panaʔ#,#panaʔ#
#pasuk#,#pasok#
#paʔa#,#paʔa#
#paʔa#,#paʔa#
#paen#,#paʔin#
#piliʔ#,#piliʔ#
#puki#,#puki#
#puluŋ#,#puloŋ#
#putun#,#putol#
#sa#,#sa#
#sabsab#,#sabsab#
#sabaj#,#sabaj#
#sakal#,#sakal#
#sapaj#,#sampaj#
#si#,#si#
#seksek#,#siksik#
#sikux#,#siko#
#sipsip#,#sipsip#
#saleŋ#,#sahiŋ#
#sapaʔ#,#sapaʔ#
#sikux#,#siko#
#sipit#,#sipit#
#susu#,#suso#
#taktak#,#taktak#
#takut#,#takot#
#tastas#,#tastas#
#taʔan#,#taʔan#
#taʔan#,#taʔan#
#tibuk#,#tibok#
#tiktik#,#tiktik#
#tuktuk#,#tuktok#
#tukul#,#tukol#
#tuʔed#,#tuod#
#takut#,#takot#
#tapis#,#tapis#
#tapus#,#tapos#
#tubah#,#tuba#
#tukud#,#tukod#
#tuked#,#tukod#
#tuduʔ#,#tuloʔ#
#tuzuʔ#,#turoʔ#
#tusuk#,#tusok#
#ʔudaŋ#,#ulaŋ#
#ʔetut#,#utot#
#ʔuaj#,#uwaj#
#ua#,#wa#
#walu#,#walo#
#waraj#,#walaj#
#watawat#,#watawat#
#aken#,#akin#
#amen#,#amin#
#ʔaɲud#,#anod#
#asu#,#aso#
#ata#,#ata#
#iten#,#atin#
#iten#,#atin#
#iten#,#atin#
#ʔipit#,#ipit#
#ʔuledʒ#,#uhod#
#ulaw#,#ulaw#
#ʔudʒiŋ#,#uliŋ#
#ʔuluh#,#ulo#
#ŋabŋab#,#ŋabŋab#
#ŋadʒan#,#ŋalan#
#ŋipen#,#ŋipin#
#ŋusuʔ#,#ŋusoʔ#
