input,output
#a#,#a#
#aki#,#aki#
#amax#,#ama#
#apa#,#apa#
#apu#,#apu#
#ala#,#ara#
#asu#,#atu#
#babuj#,#fafuj#
#bakuŋ#,#fakun#
#baliw#,#fariw#
#batux#,#fatu#
#badʒaʔ#,#fazaʔ#
#bekas#,#fkat#
#bual#,#fuar#
#hulhul#,#hurhur#
#ian#,#ian#
#ina#,#ina#
#ita#,#ita#
#kaidʒa#,#kaiza#
#kaen#,#kan#
#kalaw#,#karaw#
#kalih#,#kari#
#katkat#,#katkat#
#kawkaw#,#kawkaw#
#ketil#,#ktir#
#ketun#,#ktun#
#kuaw#,#kuaw#
#kudkud#,#kuskus#
#kuti#,#kuti#
#maʔaw#,#maʔaw#
#mumu#,#mumu#
#putun#,#mutun#
#mudʒiŋ#,#muzin#
#na#,#na#
#nipen#,#nipin#
#pakpak#,#pakpak#
#paŋa#,#pana#
#panaʔ#,#panaʔ#
#palu#,#paru#
#padʒaj#,#pazaj#
#pitu#,#pitu#
#pidʒax#,#piza#
#pidʒpidʒ#,#pizpiz#
#punuʔ#,#punuʔ#
#pudʒa#,#puza#
#ʔa#,#ʔa#
#ʔaleb#,#ʔaruf#
#ʔelʔel#,#ʔirʔir#
#ʔemu#,#ʔmu#
#ʔepit#,#ʔpit#
#ʔelud#,#ʔrus#
#ʔuaj#,#ʔuaj#
#laŋaw#,#ranaw#
#lahud#,#raus#
#likud#,#rikus#
#lima#,#rima#
#aludʒa#,#ruza#
#dakep#,#sakup#
#dakep#,#sapuk#
#damuʔ#,#samuʔ#
#daŋdaŋ#,#sansan#
#zalan#,#saran#
#daja#,#saja#
#dilaʔ#,#siraʔ#
#dukduk#,#suksuk#
#duma#,#suma#
#taina#,#taina#
#tamuhuŋ#,#tamuhun#
#taŋa#,#tana#
#saleŋ#,#tarin#
#taɲam#,#tazam#
#si#,#ti#
#tik#,#tik#
#titu#,#titu#
#tenun#,#tnun#
#telu#,#turu#
#tuduʔ#,#tusuʔ#
#tuzuʔ#,#tusuʔ#
#susu#,#tutu#
#tutut#,#tutut#
#uka#,#uka#
#upup#,#upup#
