input,output
#alap#,#ala#
#danaw#,#ano#
#aku#,#au#
#baba#,#fafa#
#panaʔ#,#fana#
#bituʔen#,#fetuʔu#
#pidʒax#,#fiha#
#piliʔ#,#fili#
#pitu#,#fitu#
#peceʔ#,#foa#
#peɲu#,#fonu#
#buaʔ#,#fua#
#buaʔ#,#fuo#
#punti#,#fusi#
#putput#,#fusi#
#esa#,#ha#
#zalan#,#hala#
#sapet#,#hapo#
#suksuk#,#huhu#
#i#,#i#
#i#,#ʔi#
#ia#,#ia#
#ʔia#,#ia#
#kiaw#,#kiokio#
#kita#,#kite#
#ɡemɡem#,#koko#
#ketil#,#kosi#
#kuden#,#kulo#
#kak#,#kaː#
#rakat#,#laka#
#dalem#,#lalo#
#ladʒam#,#lata#
#laŋaw#,#laŋo#
#manuk#,#manu#
#nipen#,#nifo#
#lima#,#nima#
#depah#,#ofa#
#enem#,#ono#
#ʔitik#,#siʔi#
#tirtir#,#tete#
#telu#,#tolu#
#tuzuʔ#,#tuhu#
#walu#,#valu#
#waʔaj#,#vaʔe#
#daŋdaŋ#,#aː#
#ŋusuʔ#,#ŋutu#
#ʔadʒaw#,#ʔaho#
#ʔenaj#,#ʔone#
#ʔetaʔ#,#ʔota#
#ʔudʒiŋ#,#ʔuhi#
#ʔuluh#,#ʔulu#
#ʔudaŋ#,#ʔuo#
#ʔumaŋ#,#ʔuŋa#
