input,output
#ai#,#ai#
#ʔalad#,#alar#
#ʔapedʒux#,#aperu#
#asu#,#asu#
#ʔetut#,#entut#
#esa#,#esa#
#ʔipit#,#impit#
#kalih#,#kali#
#zalan#,#lalan#
#dilaʔ#,#lilaʔ#
#lima#,#lima#
#buʔaja#,#muaja#
#ɲamɲam#,#nanam#
#paheku#,#paku#
#pacek#,#pasək#
#pidʒax#,#pira#
#pitu#,#pitu#
#pitpit#,#piʔpit#
#punaj#,#punej#
#punti#,#punti#
#daŋdaŋ#,#raraŋ#
#depah#,#rəpa#
#susu#,#susu#
#taʔan#,#taʔan#
#tuzuʔ#,#turuʔ#
#tubah#,#tuwa#
#telu#,#təlu#
#ʔuaŋ#,#uaŋ#
#ʔudaŋ#,#ulaŋ#
#ʔuledʒ#,#uler#
#ʔuledʒ#,#uləd#
#ʔumah#,#uma#
#ʔuaj#,#uwe#
#biʔut#,#wiʔut#
#buʔaja#,#wuaja#
#buaʔ#,#wuaʔ#
#buled#,#wulur#
#bubu#,#wuwu#
#buŋa#,#wuŋa#
#bukas#,#wuŋkas#
#ŋadʒan#,#ŋaran#
#ŋaŋa#,#ŋaŋa#
#ŋilu#,#ŋilu#
