input,output
#alaʔ#,#alaʔ#
#ʔaɲud#,#anuʔ#
#paen#,#apa#
#depah#,#dopo#
#isi#,#ihi#
#dilaʔ#,#dʒilaʔ#
#kudʒa#,#kudʒa#
#kuden#,#kura#
#lima#,#lima#
#mamah#,#mama#
#ni#,#ni#
#enem#,#ono#
#ʔetut#,#otuʔ#
#palu#,#palu#
#pacek#,#pasoʔ#
#paŋa#,#paŋa#
#ʔapedʒux#,#podʒu#
#dalem#,#rala#
#danaw#,#rano#
#demdem#,#rodo#
#telu#,#tolu#
#tuzuʔ#,#tuduʔ#
#ʔuledʒ#,#ule#
#ʔuluh#,#ulu#
#walu#,#walu#
#baɲaw#,#wano#
#batux#,#watu#
#buaʔ#,#wuaʔ#
#buluʔ#,#wuluʔ#
#budʒeʔ#,#wuraʔ#
#buuŋ#,#wuu#
#buŋa#,#wuŋa#
#ŋaŋa#,#ŋaŋa#
#ŋidaw#,#ŋiro#
