input,output
#hasaʔ#,#aha#
#hasaŋ#,#ahaŋ#
#hadʒek#,#alek#
#huadʒi#,#ali#
#ʔalun#,#alon#
#ʔapah#,#apah#
#hapuj#,#apoj#
#bakbak#,#bakbak#
#bataŋ#,#bataŋ#
#batek#,#batek#
#bekbek#,#bekbek#
#busbus#,#bohboh#
#bukuh#,#bokoh#
#buʔeni#,#boni#
#bunuʔ#,#bono#
#dalit#,#dalit#
#delem#,#deem#
#dekdek#,#dekdek#
#delep#,#delep#
#ɡasɡas#,#ɡahɡah#
#ɡutɡut#,#ɡoɡot#
#selep#,#helep#
#siksik#,#hikhik#
#suliʔ#,#howi#
#susuʔ#,#huho#
#ka#,#ka#
#kubu#,#kobo#
#kuhkuh#,#kohkoh#
#kukuh#,#kokoh#
#kutu#,#kotoh#
#lalu#,#lalo#
#danum#,#lanom#
#dateŋ#,#lateŋ#
#lilin#,#lilin#
#diŋdiŋ#,#liŋliŋ#
#luheʔ#,#lowa#
#duha#,#lowa#
#luas#,#lwah#
#ubut#,#obot#
#uman#,#oman#
#umel#,#omel#
#unah#,#ona#
#pantar#,#patal#
#patar#,#patal#
#pespes#,#pehpeh#
#pihpih#,#pihpih#
#pusuʔ#,#poho#
#taŋkep#,#takep#
#takep#,#takep#
#tumah#,#tomah#
