input,output
#ʔabin#,#abin#
#ʔabu#,#abu#
#abut#,#abut#
#wada#,#ada#
#adʒan#,#adan#
#hadʒek#,#adek#
#ʔadʒeŋ#,#adeŋ#
#huadʒi#,#adi#
#halas#,#alas#
#ʔalun#,#alun#
#abaŋ#,#ambaŋ#
#ʔampelas#,#amplas#
#ʔapelas#,#amplas#
#ampun#,#ampun#
#hamuk#,#amuk#
#anak#,#anak#
#apa#,#apa#
#hapuj#,#api#
#hapit#,#apit#
#asat#,#asat#
#ʔasiʔ#,#asih#
#ʔataj#,#ati#
#hawak#,#awak#
#awaj#,#awe#
#ʔanih#,#aɲi#
#haŋin#,#aŋin#
#hasaŋ#,#aŋsaŋ#
#hasek#,#aŋsek#
#haŋus#,#aŋus#
#aduʔ#,#aɖuh#
#bakbak#,#babak#
#baɡal#,#baɡal#
#balan#,#balan#
#balaj#,#bale#
#balik#,#balik#
#bantiŋ#,#bantiŋ#
#baseʔ#,#baseh#
#baŋbaŋ#,#baŋbaŋ#
#baŋbaŋ#,#baŋbaŋ#
#baŋeʔes#,#baŋes#
#baŋʔes#,#baŋes#
#baŋun#,#baŋun#
#bedʒbedʒ#,#bebed#
#bekbek#,#bebek#
#bekbek#,#bekbek#
#belbel#,#bebel#
#bedʒbedʒ#,#bedbed#
#belat#,#belat#
#balalatuk#,#belatuk#
#belaŋ#,#belaŋ#
#beli#,#beli#
#balidʒa#,#belida#
#bena#,#bena#
#bener#,#beneh#
#bentuk#,#bentuk#
#berber#,#berber#
#besaʔ#,#besah#
#beŋaŋ#,#beŋaŋ#
#beŋkuʔ#,#beŋkuh#
#bekuk#,#beŋkuk#
#birbir#,#bibih#
#bila#,#bila#
#biluk#,#biluk#
#binehiʔ#,#binih#
#bisul#,#bisul#
#busuk#,#bosok#
#buaʔ#,#buah#
#buhat#,#buat#
#buhat#,#buat#
#bukbuk#,#bubuk#
#bubuŋ#,#bubuŋ#
#budbud#,#budbud#
#buka#,#buka#
#bukbuk#,#bukbuk#
#buket#,#buket#
#bukuh#,#buku#
#bulan#,#bulan#
#bulu#,#bulu#
#buntut#,#buntut#
#burit#,#burit#
#busbus#,#busbus#
#buta#,#buta#
#butbut#,#butbut#
#butbut#,#bubut#
#butuʔ#,#butuh#
#buŋa#,#buŋa#
#buŋkuk#,#buŋkuk#
#buŋkul#,#buŋkul#
#bukut#,#buŋkut#
#buʔaja#,#bwaja#
#bikut#,#beŋkot#
#celeb#,#celeb#
#cukcuk#,#cukcuk#
#daki#,#daki#
#dakit#,#dakit#
#dalem#,#dalem#
#dalit#,#dalit#
#daŋdaŋ#,#daŋdaŋ#
#deket#,#deket#
#dekuk#,#dekuk#
#diʔdiʔ#,#didih#
