input,output
#anak#,#anak#
#hadʒek#,#arek#
#esuŋ#,#asuŋ#
#tuhud#,#atud#
#ʔabu#,#awu#
#ʔabu#,#awu#
#beŋel#,#boŋol#
#buʔaja#,#buajo#
#buʔaja#,#buʔajo#
#daₐ#,#da#
#daₐ#,#do#
#dahun#,#daun#
#dilaʔ#,#diləʔ#
#daₐ#,#do#
#duha#,#duo#
#ida#,#ido#
#ipen#,#ipon#
#kaka#,#kako#
#kahiw#,#kaju#
#ka#,#ko#
#kutu#,#kutu#
#dalem#,#lalom#
#lisehaʔ#,#lios#
#liseʔah#,#lios#
#aluten#,#luton#
#manuk#,#manuk#
#mata#,#mato#
#daʔan#,#raʔan#
#suŋkab#,#sukab#
#sukab#,#sukab#
#talih#,#tali#
#taneʔ#,#tanaʔ#
#taneʔ#,#tanəʔ#
#taʔun#,#taun#
#taʔi#,#taʔiʔ#
#taliŋa#,#teliŋo#
#tuʔah#,#tuo#
#hutek#,#utok#
#ŋadʒan#,#ŋaran#
