input,output
#babaʔ#,#baba#
#bali#,#bali#
#balidʒa#,#baliɡa#
#baseʔ#,#basa#
#batu#,#batu#
#baŋbaŋ#,#baŋbaŋ#
#baŋeʔes#,#baŋʔəs#
#baŋʔes#,#baŋʔəs#
#bahaj#,#baʔaj#
#biladʒ#,#bilaɡ#
#bisbis#,#bisbis#
#bitil#,#bitil#
#bubuŋ#,#bubuŋ#
#bukbuk#,#bukbuk#
#bukuh#,#buku#
#buliʔ#,#buli#
#bulu#,#bulu#
#bunbun#,#bunbun#
#bunubun#,#bunubun#
#buʔaja#,#buwaja#
#buhek#,#buʔuk#
#bahi#,#bai#
#bakas#,#bakas#
#baraŋ#,#balaŋ#
#bataŋ#,#bataŋ#
#batek#,#batək#
#batek#,#batək#
#baŋun#,#baŋun#
#bilat#,#bilat#
#bulan#,#bulan#
#butuʔ#,#butu#
#buteŋ#,#butəŋ#
#bedʒbedʒ#,#bədbəd#
#betbet#,#bətbət#
#betak#,#bətak#
#beŋbeŋ#,#bəŋbəŋ#
#dalikan#,#dalikan#
#danum#,#danum#
#dapan#,#dapan#
#dapet#,#dapət#
#dateŋ#,#datəŋ#
#diŋdiŋ#,#diŋdiŋ#
#duha#,#duwa#
#zaʔit#,#dait#
#zalan#,#dalan#
#dalem#,#daləm#
#zaŋan#,#daŋan#
#dilaʔ#,#dila#
#desek#,#dəsək#
#ɡatel#,#ɡatəl#
#ka#,#ka#
#kinit#,#kinit#
#kukuh#,#kuku#
#kureʔit#,#kulʔit#
#kurʔit#,#kulʔit#
#kakakₐ#,#kakak#
#kahiw#,#kaʔəw#
#kunidʒ#,#kunəɡ#
#kutu#,#kutu#
#kelas#,#kəlas#
#kemel#,#kəməl#
#kepkep#,#kəpkəp#
#keteb#,#kətəb#
#lamuk#,#lamuk#
#lawi#,#lawi#
#liaŋ#,#lijaŋ#
#luheʔ#,#luwa#
#laki#,#laki#
#laledʒ#,#laləɡ#
#laɲa#,#lana#
#laʔia#,#laja#
#raut#,#laʔut#
#likut#,#likut#
#likes#,#likəs#
#liket#,#likət#
#luŋkas#,#lukas#
#lukas#,#lukas#
#lekas#,#ləkas#
#manuk#,#manuk#
#mata#,#mata#
#mimis#,#mimis#
#ʔanuaŋ#,#nuwaŋ#
#pakan#,#pakan#
#paniki#,#paniki#
#paʔet#,#paət#
#picit#,#pisit#
#paladʒ#,#palad#
#pikut#,#pikut#
#punas#,#punas#
#pusuʔ#,#pusu#
#pusedʒ#,#pusəɡ#
#putul#,#putul#
#pespes#,#pəspəs#
#sakaj#,#sakaj#
#sakit#,#sakit#
#saŋa#,#saŋa#
#silap#,#silap#
#sitsit#,#sitsit#
#siuk#,#sijuk#
#sulsul#,#sulsul#
#sili#,#sili#
#silaw#,#siləw#
#sudʒa#,#suɡa#
#cekel#,#səkəl#
#tazem#,#tadəm#
#taki#,#takki#
#talih#,#tali#
#tanem#,#tanəm#
#tapi#,#tapi#
#tahep#,#tapa#
#tapik#,#tapik#
#taŋeb#,#taŋəb#
#tiktik#,#tiktik#
#tiktik#,#tiktik#
