input,output
#ʔabu#,#abu#
#aŋkup#,#akop#
#hakut#,#akot#
#ʔaledʒaw#,#aldew#
#ʔamihan#,#amijan#
#ʔaninu#,#aninɔ#
#anak#,#anak#
#ʔanahaw#,#anaw#
#ʔanitu#,#anito#
#hapedʒes#,#apdəs#
#ampu#,#apo#
#hapuj#,#apoj#
#asuk#,#asok#
#hasek#,#asək#
#ʔatep#,#atəp#
#ataj#,#atɛ#
#bahaw#,#bahaw#
#baludʒ#,#balud#
#bahaj#,#baaj#
#bedʒbedʒ#,#bedbed#
#bekeladʒ#,#beklad#
#balu#,#bilo#
#biladʒ#,#bilaɡ#
#biseʔ#,#bisa#
#batu#,#bito#
#bituka#,#bituka#
#buʔaja#,#buaja#
#bubuŋ#,#bubuŋ#
#bukbuk#,#bukbuk#
#bukal#,#bukal#
#buŋkas#,#bukas#
#bukas#,#bukas#
#bukuh#,#buko#
#bulan#,#bulan#
#bulati#,#bulati#
#buliʔ#,#bule#
#bunut#,#bunot#
#bunuʔ#,#buno#
#buhek#,#buuk#
#buŋa#,#buŋa#
#baba#,#baba#
#babaʔ#,#baba#
#binehiʔ#,#binhi#
#butbut#,#bɵtbɵt#
#buŋkul#,#bukul#
#bunbun#,#bunbun#
#zalan#,#dilan#
#dilaʔ#,#dila#
#danum#,#dinom#
#dapdap#,#dipdip#
#dian#,#dijan#
#diŋdiŋ#,#diŋdiŋ#
#dujuŋ#,#dujoŋ#
#dahun#,#dɔn#
#dekdek#,#dəkdək#
#ebun#,#ebun#
#ʔelad#,#elad#
#hemut#,#emot#
#epat#,#epat#
#ʔetut#,#etut#
#ɡatel#,#ɡitəl#
#ɡiliŋ#,#ɡiliŋ#
#hikan#,#ikan#
#inum#,#inom#
#ʔipit#,#ipit#
#karis#,#kahes#
#kali#,#kale#
#kamu#,#kam#
#kamet#,#kamət#
#kasaw#,#kasaw#
#kahiw#,#kajo#
#kilat#,#kilat#
#kukuh#,#kuko#
#kulit#,#kulet#
#kunidʒ#,#kuneɡ#
#kutu#,#kuto#
#kikik#,#kikik#
#kebit#,#kəbit#
#kebkeb#,#kəbkəb#
#kemel#,#kəməl#
#lamun#,#lamon#
#laʔia#,#laja#
#laŋit#,#laŋet#
#laŋaw#,#laŋɵ#
#leku#,#leko#
#lesles#,#lesles#
#likuʔ#,#liko#
#lilin#,#lilen#
#limas#,#limas#
#lumut#,#lumot#
#luas#,#luwas#
#laban#,#laban#
#lakadʒ#,#lakad#
#lalu#,#lalo#
#lapis#,#lapes#
#laŋesi#,#laŋse#
#laŋsi#,#laŋse#
#lisehaʔ#,#lesa#
#liseʔah#,#lesa#
#lumu#,#lumu#
#lesuŋ#,#ləsoŋ#
#luheʔ#,#ləwa#
#madʒa#,#made#
#manuk#,#manok#
#mata#,#mata#
#mekmek#,#mekmek#
#namaw#,#namaw#
#ɲamuk#,#namok#
#natuʔ#,#nato#
#naŋa#,#naŋa#
#naŋuj#,#naŋoj#
#ɲaŋket#,#niket#
#ɲaket#,#niket#
#niket#,#nikət#
#niwaŋ#,#niwaŋ#
#ɲatuʔ#,#nato#
#ʔubus#,#obus#
#ʔuʔus#,#os#
#huj#,#oj#
#paladʒ#,#palad#
#palaʔpaʔ#,#palapa#
#panaw#,#panaw#
#paraʔu#,#paraw#
#pulut#,#pulot#
#punas#,#punas#
#pusuʔ#,#puso#
#pusedʒ#,#pusəd#
#putat#,#putat#
#putul#,#putol#
#palu#,#palo#
#pandak#,#pandak#
#pespes#,#pəspəs#
#sabaŋ#,#sabeŋ#
#saʔebit#,#sabit#
#sakit#,#saket#
#sakaŋ#,#sakaŋ#
#saput#,#sapot#
#saŋa#,#saŋa#
#taŋis#,#saŋet#
#sidʒi#,#sidi#
#sisi#,#sise#
#siŋeʔit#,#siŋet#
#siŋʔit#,#siŋet#
#suluʔ#,#sulo#
#sitsit#,#sitsit#
#ka#,#ta#
#tazem#,#tadem#
#takaw#,#takɵ#
#taliŋa#,#taliŋa#
#talun#,#talon#
#taluk#,#taluk#
#taʔemis#,#tamʔis#
#taʔmis#,#tamʔis#
#taʔun#,#taon#
#tahep#,#tap#
#tapik#,#tapek#
#taŋad#,#taŋad#
#tebiʔ#,#tebi#
#teduŋ#,#teduŋ#
#tian#,#tian#
#tilu#,#tilo#
#tiŋah#,#tiŋa#
#tiŋtiŋ#,#tiŋtiŋ#
#tuhud#,#tod#
#tuɡtuɡ#,#toɡtoɡ#
#tulak#,#tulak#
#tunu#,#tuno#
#tutuŋ#,#tutuŋ#
#tabun#,#tabun#
#talu#,#talo#
#tapa#,#tapa#
#timba#,#timba#
#tuluŋ#,#tuluŋ#
#ubet#,#ubet#
#ʔubi#,#ubi#
#ʔubudʒ#,#ubud#
#ʔubus#,#ubus#
#ʔules#,#ules#
#ʔulu#,#ulo#
#ʔuma#,#uma#
#ʔunedʒ#,#uneɡ#
#ʔutaŋ#,#utaŋ#
#hutek#,#utek#
#huadʒi#,#wadi#
#hadu#,#adu#
#ʔahelu#,#alo#
#anak#,#anak#
#ibah#,#iba#
#ina#,#ina#
#ipes#,#ipes#
#iŋat#,#iŋat#
#ʔuhuŋ#,#ooŋ#
#upaʔ#,#upa#
#ʔusuŋ#,#usuŋ#
#ŋadʒan#,#ŋahen#
#kajaw#,#ŋajɔ#
#ŋikŋik#,#ŋekŋek#
