input,output
#ʔazaj#,#achai#
#ʔawas#,#aɡuas#
#ʔawa#,#aɡwa#
#ʔaliliŋ#,#alileŋ#
#ʔalu#,#alu#
#ʔalunan#,#alunan#
#ʔanitu#,#aniti#
#ʔabu#,#apu#
#ʔasu#,#asu#
#ʔaledʒaw#,#atdaw#
#ʔatep#,#atof#
#ʔatulaj#,#atulaj#
#ʔajuju#,#ajuju#
#zitzit#,#cecet#
#zauʔ#,#chaɡoʔ#
#zakan#,#chahan#
#zalan#,#chalan#
#ziziʔ#,#ciceʔ#
#pauʔ#,#faɡoʔ#
#paniki#,#fanihi#
#paja#,#faja#
#paʔit#,#faʔet#
#punas#,#funas#
#ʔuhenap#,#ɡoʔnaf#
#hapuj#,#ɡuafi#
#wada#,#ɡuaha#
#hasaŋ#,#ɡuasaŋ#
#hasaʔ#,#ɡuasaʔ#
#hipi#,#ɡuifi#
#hikan#,#ɡuihan#
#idʒuŋ#,#ɡuiʔeŋ#
#hunus#,#ɡunos#
#utus#,#ɡutos#
#atu#,#ɡwatu#
#dahun#,#haɡon#
#kahu#,#haɡu#
#dalidʒ#,#haleʔ#
#kali#,#hali#
#dalikan#,#halihan#
#dalikan#,#halihan#
#dalem#,#halom#
#danum#,#hanom#
#kahu#,#haw#
#kahiw#,#haju#
#daʔani#,#haʔani#
#kaʔepi#,#haʔfe#
#kaʔpi#,#haʔfe#
#daʔih#,#haʔi#
#kima#,#hima#
#duha#,#huɡwa#
#ʔipil#,#ifet#
#ʔina#,#ina#
#ʔisaʔ#,#isaʔ#
#ʔitiŋ#,#iteŋ#
#luheʔ#,#laɡoʔ#
#lawaʔ#,#laɡuaʔ#
#lawit#,#laɡuet#
#laki#,#lahi#
#laledʒ#,#laloʔ#
#lamut#,#lamot#
#laɲa#,#laɲa#
#laŋit#,#laŋet#
#laŋaʔ#,#laŋŋaʔ#
#liaŋ#,#lijaŋ#
#luaʔ#,#luɡaʔ#
#lemes#,#lumos#
#lumut#,#lumot#
#lusuŋ#,#lusoŋ#
#lasuʔ#,#læsoʔ#
#mamaʔ#,#mamaʔ#
#mata#,#mata#
#miʔmiʔ#,#meʔmeʔ#
#nabek#,#napu#
#ŋadʒan#,#naʔan#
#nues#,#nosnos#
#nepuʔ#,#nufoʔ#
#nunuk#,#nunu#
#naŋuj#,#næŋu#
#bakuŋ#,#pahoŋ#
#balu#,#palu#
#bahu#,#pao#
#babaʔ#,#papaʔ#
#bakbak#,#pappa#
#baŋun#,#paŋon#
#bekaʔ#,#pokkaʔ#
#bukbuk#,#poppo#
#buaʔ#,#puɡwaʔ#
#bulan#,#pulan#
#bulan#,#pulan#
#bekeladʒ#,#pulaʔ#
#bulu#,#pulu#
#bunut#,#punot#
#bunuʔ#,#punoʔ#
#bubuŋ#,#pupoŋ#
#betaʔ#,#putaʔ#
#saɡu#,#saɡu#
#sawaʔ#,#saɡwaʔ#
#salaʔ#,#salaʔ#
#siwa#,#siɡwa#
#sikek#,#sihek#
#sudu#,#suhu#
#suluʔ#,#suloʔ#
#talisaj#,#talisaj#
#tanem#,#tanom#
#taneʔ#,#tanoʔ#
#tasik#,#tasi#
#taŋis#,#taŋes#
#tiŋtiŋ#,#tiŋteŋ#
#teduŋ#,#tuhoŋ#
#tuduŋ#,#tuhoŋ#
#tunu#,#tunu#
#tebuh#,#tupu#
#ʔuzan#,#uchan#
#ʔuledʒ#,#uloʔ#
#ʔulu#,#ulu#
#ʔubus#,#upos#
#ʔuʔus#,#uʔos#
#ɲamuk#,#ɲamu#
#ɲepuʔ#,#ɲufoʔ#
#ŋasŋas#,#ŋaŋas#
#ŋasŋas#,#ŋaŋas#
#ŋukŋuk#,#ŋokŋok#
