input,output
#baɡeʔaŋ#,#baɡʔaŋ#
#bahaj#,#bahaj#
#bahaʔ#,#bahaʔ#
#balaj#,#balaj#
#balik#,#balik#
#baɲaw#,#banaw#
#badas#,#baras#
#baruk#,#baruk#
#batu#,#batu#
#batu#,#batu#
#bili#,#bili#
#binehiʔ#,#binhiʔ#
#bitik#,#bitik#
#bubun#,#bubun#
#bubuŋ#,#bubuŋ#
#bedʒbedʒ#,#budbud#
#betas#,#buɡtas#
#bukbuk#,#bukbuk#
#buŋkas#,#bukas#
#bukas#,#bukas#
#buliʔ#,#buliʔ#
#buluŋ#,#buluŋ#
#bunut#,#bunut#
#bunuʔ#,#bunuʔ#
#buri#,#buri#
#busbus#,#busbus#
#buta#,#buta#
#buteʔul#,#butʔul#
#hutek#,#butʔul#
#buhat#,#buwat#
#beŋel#,#buŋul#
#buʔaja#,#buʔaja#
#baba#,#baba#
#babaʔ#,#babaʔ#
#bahaw#,#bahaw#
#baliw#,#baliw#
#baludʒ#,#balud#
#baraŋ#,#baraŋ#
#batad#,#batad#
#bataŋ#,#bataŋ#
#bahi#,#baji#
#baŋun#,#baŋun#
#bikaʔ#,#bikaʔ#
#bitbit#,#bitbit#
#biŋkuŋ#,#biŋkuŋ#
#bubun#,#bubun#
#bukuh#,#buku#
#buŋkul#,#bukul#
#bulan#,#bulan#
#bulud#,#bulud#
#bunuʔ#,#bunuʔ#
#buʔeni#,#bunʔi#
#buŋa#,#buŋa#
#dalidʒ#,#dalid#
#danum#,#danum#
#dapdap#,#dapdap#
#daŋdaŋ#,#daŋdaŋ#
#ditaʔ#,#ditaʔ#
#duha#,#duwa#
#deŋan#,#duŋan#
#zalan#,#dalan#
#dahun#,#dawun#
#daʔan#,#daʔan#
#daʔu#,#daʔu#
#dilaʔ#,#dilaʔ#
#deket#,#dukut#
#dumpul#,#dumpul#
#dujuŋ#,#dujuŋ#
#ɡaraŋ#,#ɡaraŋ#
#ɡaris#,#ɡaris#
#ɡatel#,#ɡatul#
#ɡetel#,#ɡutul#
#ɡarus#,#ɡarus#
#hapen#,#hapun#
#halin#,#halin#
#ʔahelu#,#halʔu#
#hapit#,#hapit#
#hawak#,#hawak#
#haŋit#,#haŋit#
#hitu#,#hitu#
#kamiri#,#kamiri#
#kanarum#,#kanarum#
#kitik#,#kitik#
#kukuh#,#kuku#
#ka#,#ka#
#kali#,#kali#
#kamu#,#kamu#
#kahiw#,#kaju#
#kilat#,#kilat#
#kunu#,#kunu#
#kutu#,#kutu#
#lakaw#,#lakaw#
#laki#,#laki#
#lawi#,#lawi#
#likuʔ#,#likuʔ#
#limbun#,#limbun#
#luŋkas#,#lukas#
#lukas#,#lukas#
#lulun#,#lulun#
#lesuŋ#,#lusuŋ#
#luas#,#luwas#
#labi#,#labi#
#laki#,#laki#
#lalu#,#lalu#
#laɲa#,#lana#
#lapad#,#lapad#
#laŋaw#,#laŋaw#
#laŋit#,#laŋit#
#likes#,#likus#
#linaw#,#linaw#
#liʔepit#,#lipit#
#liʔpit#,#lipit#
#lintik#,#litik#
#litik#,#litik#
#lumut#,#lumut#
#leŋa#,#luŋa#
#manuk#,#manuk#
