input,output
#lawi#,#lai#
#ʔataj#,#ade#
#anak#,#ana#
#kahu#,#au#
#ʔabu#,#awu#
#bukbuk#,#bubu#
#buŋkuk#,#buku#
#tambak#,#daba#
#tasik#,#dahi#
#tanem#,#dane#
#tanem#,#dana#
#talih#,#dari#
#tuluj#,#duli#
#teka#,#dəka#
#telen#,#dəle#
#ʔelad#,#ela#
#epat#,#epa#
#empu#,#epu#
#etes#,#ete#
#enteŋ#,#ete#
#eteŋ#,#ete#
#ʔeɲek#,#eɲi#
#salaʔ#,#hala#
#sumaŋed#,#hemaŋa#
#pikak#,#hika#
#suluʔ#,#huru#
#ʔimpun#,#ibu#
#ʔipun#,#ibu#
#inda#,#ida#
#ʔilaŋ#,#ila#
#ina#,#ina#
#hinuʔ#,#inu#
#zukut#,#dʒuʔu#
#keɲedʒ#,#keɲa#
#kulit#,#kuri#
#kukuh#,#kuu#
#laledʒ#,#lara#
#liŋ#,#li#
#liaŋ#,#lie#
#ʔaledʒaw#,#loɗo#
#mata#,#mada#
#mamaʔ#,#mama#
#minaŋa#,#menaŋa#
#miɲak#,#meɲi#
#nabek#,#nawa#
#naŋuj#,#naŋi#
#naŋuj#,#naŋe#
#nakaw#,#naʔo#
#paniki#,#niʔi#
#wani#,#oni#
#pataʔ#,#pada#
#panas#,#pana#
#papan#,#papa#
#pikik#,#peki#
#picik#,#pihi#
#putiʔ#,#pudi#
#datu#,#ratu#
#tamiŋ#,#tami#
#taʔun#,#tau#
#tunu#,#tunu#
#ʔutin#,#udi#
#utiŋ#,#udi#
#kutu#,#udu#
#pusuʔ#,#uhu#
#ʔuzuŋ#,#udʒu#
#ʔulin#,#uli#
#ʔulu#,#uru#
#bahaʔ#,#wa#
#batu#,#wadu#
#bakes#,#wake#
#babaʔ#,#wawa#
#bisul#,#wihu#
#binehiʔ#,#wini#
#buʔaja#,#woe#
#buliʔ#,#wore#
#bahu#,#wou#
#buaʔ#,#wue#
#buhat#,#wue#
#buni#,#wuni#
#bulu#,#wuru#
#balik#,#wari#
#hapuj#,#ai#
#hiket#,#eki#
#ŋadʒan#,#ŋara#
#baʔaɡi#,#ɓaɡi#
#baliw#,#ɓare#
#baliw#,#ɓari#
#baliʔ#,#ɓari#
#babaʔ#,#ɓaɓa#
#beliʔ#,#ɓole#
#buaʔ#,#ɓue#
#bubuʔ#,#ɓuwu#
#dalem#,#ɗara#
#duha#,#ɗue#
#zalan#,#ʄara#
