input,output
#habit#,#abit#
#hadu#,#adu#
#huadʒi#,#aɡi#
#kasaw#,#ahaw#
#asuk#,#ahuk#
#ʔaledʒaw#,#alɡaw#
#ʔaledʒaw#,#alɡo#
#aluten#,#aluton#
#ʔahelu#,#alʔu#
#hameti#,#amti#
#hameti#,#amti#
#ʔanitu#,#aninito#
#anak#,#anak#
#ʔampelas#,#aplah#
#ʔapelas#,#aplah#
#hampil#,#apil#
#ampu#,#apu#
#hapuhap#,#apuap#
#hapuj#,#apuj#
#hapuj#,#apuj#
#hapuhap#,#apuːap#
#ataj#,#ate#
#ʔatep#,#atop#
#badʒaʔ#,#baɡa#
#badʒaʔ#,#baɡa#
#bali#,#bali#
#balidʒa#,#baliɡa#
#bantiŋ#,#banteŋ#
#bantiŋ#,#bantiŋ#
#batu#,#batu#
#batu#,#batu#
#baŋbaŋ#,#baŋbaŋ#
#biseʔak#,#bihʔak#
#biladʒ#,#bilaɡ#
#bituka#,#bituka#
#bituka#,#bituːʔa#
#betas#,#bohat#
#bekbek#,#bokbok#
#betbet#,#botbot#
#bubun#,#bubun#
#bubuŋ#,#bubuŋ#
#bukbuk#,#bukbuk#
#bulu#,#bulu#
#bulun#,#bulun#
#bunubun#,#bunbun#
#bunbun#,#bunbun#
#bunbun#,#bumbun#
#buteʔul#,#butul#
#buaʔ#,#buwa#
#buʔaja#,#buaja#
#buʔbuʔ#,#buʔbuʔ#
#bukbuk#,#buʔbuʔ#
#baliw#,#baliw#
#baludʒ#,#baluɡ#
#batek#,#batok#
#bitil#,#bitil#
#bedʒbedʒ#,#bobod#
#bubuŋ#,#bubuŋ#
#buka#,#buka#
#bulan#,#bulan#
#bulud#,#bulud#
#buta#,#buta#
#buta#,#buta#
#buhek#,#buuk#
#buŋa#,#buŋa#
#baliw#,#baːlu#
#bataŋ#,#baːtaŋ#
#bilat#,#biːlat#
#bedʒbedʒ#,#boːbod#
#bulan#,#buːlan#
#bulud#,#buːlud#
#buteŋ#,#buːtoŋ#
#buteŋ#,#buːtoŋ#
#buŋa#,#buːŋa#
#dadan#,#dadan#
#dadan#,#dadan#
#daŋdaŋ#,#dadaŋ#
#dalikan#,#dalikan#
#dalem#,#dalom#
#danum#,#danum#
#danum#,#danum#
#dapan#,#dapan#
#dateŋ#,#datoŋ#
#dateŋ#,#datoŋ#
#daŋdaŋ#,#daŋdaŋ#
#diŋdiŋ#,#diŋdiŋ#
#desek#,#dohok#
#deket#,#dokot#
#duha#,#duwa#
#duha#,#duwa#
#zaʔit#,#dait#
#zalan#,#dalan#
#dilaʔ#,#dila#
#zalan#,#daːlan#
#dalem#,#daːlom#
#dilaʔ#,#diːla#
#ɡaris#,#ɡali#
#ɡiliŋ#,#ɡiliŋ#
#sakaj#,#hakaj#
#sakaŋ#,#hakaŋ#
#sakit#,#hakit#
#sakit#,#haʔit#
#cekel#,#hokol#
#sabaŋ#,#habaŋ#
#sakaŋ#,#hakaŋ#
#sili#,#hili#
#sudʒa#,#huɡa#
#ibah#,#iba#
#hikan#,#ikan#
#ina#,#ina#
#inum#,#inum#
#kukuh#,#kuku#
#kukuh#,#kuku#
#kahiw#,#kaiw#
#kahiw#,#kaju#
#kaput#,#kaput#
#kikik#,#kikik#
#kutu#,#kutu#
#kiras#,#kiːlah#
#laŋesi#,#laŋhi#
#laŋsi#,#laŋhi#
#laŋit#,#laŋit#
#laŋen#,#laŋon#
#lilin#,#lilin#
#liaŋ#,#lijaŋ#
#lusuŋ#,#luhuŋ#
#lesuŋ#,#luhoŋ#
#laki#,#laki#
#lamun#,#lamun#
#laʔia#,#laja#
#laŋaw#,#laŋaw#
#laŋaw#,#laŋo#
#laŋaw#,#laŋaw#
#luheʔ#,#luwa#
#laki#,#laːki#
#laledʒ#,#laːloɡ#
#laʔia#,#laːja#
#laŋit#,#laːŋit#
#madʒa#,#maɡa#
#manuk#,#manuʔ#
#manuk#,#manok#
#mata#,#mata#
#mata#,#mata#
#ʔanuaŋ#,#nuwaŋ#
#heban#,#oban#
#ʔekʔek#,#okok#
#ʔekʔek#,#okʔok#
#ena#,#ona#
#ʔeneb#,#onob#
#epat#,#opat#
#ʔeta#,#ota#
#palu#,#pallu#
#paniki#,#panniʔ#
#paniki#,#panniki#
#paʔit#,#pait#
#pula#,#pula#
#puʔun#,#puun#
#paladʒ#,#palad#
#palak#,#palak#
#pusedʒ#,#puhoɡ#
#pusuʔ#,#puhu#
#punas#,#punah#
#putul#,#putul#
#paʔit#,#paːit#
#pusedʒ#,#puːhoɡ#
#pusuʔ#,#puːhu#
#putul#,#puːtul#
#tazem#,#tadom#
#taki#,#takki#
#talih#,#tali#
#tanek#,#tanok#
#tanem#,#tanom#
#tanem#,#tanom#
#tapa#,#tapa#
#tapa#,#tapa#
#taʔun#,#tawon#
#taŋeladʒ#,#taŋlaɡ#
#taŋila#,#taŋila#
#taʔi#,#taʔi#
#tiktik#,#tiktik#
#tiktik#,#tiktik#
#teɡteɡ#,#toɡtoɡ#
#teɡteɡ#,#toɡtoɡ#
#tektek#,#toktok#
#tekub#,#tokub#
#tuɡtuɡ#,#tuɡtuɡ#
#taŋad#,#taŋad#
#timid#,#timid#
#tumbak#,#tubak#
#tubak#,#tubak#
#tubuʔ#,#tubu#
#tumbuʔ#,#tubu#
#tuluj#,#tuluj#
#tumah#,#tuma#
#taŋad#,#taːŋad#
#tubuʔ#,#tuːbu#
#tumbuʔ#,#tuːbu#
#tuluj#,#tuːluj#
#tumah#,#tuːma#
#ʔuzan#,#udan#
#udehi#,#udi#
#ʔuma#,#uma#
#unah#,#una#
#upus#,#upu#
#ʔutut#,#utut#
#ʔuʔus#,#uu#
#aŋkup#,#akup#
#halas#,#ala#
#ʔanih#,#ani#
#hapin#,#apin#
#apuk#,#apuk#
#hawak#,#awak#
#haŋit#,#aŋit#
#iaɡ#,#iaɡ#
#hisuʔ#,#ihu#
#hisuʔ#,#ihu#
#iʔi#,#ii#
#hili#,#ili#
#ina#,#ina#
#ʔipil#,#ipil#
#ʔipit#,#ipit#
#hipun#,#ipun#
#ʔuhuŋ#,#ooŋ#
#ʔuban#,#uban#
#ʔutaŋ#,#uɡaŋ#
#hulidʒ#,#uliɡ#
#ʔules#,#ulo#
#ʔuledʒ#,#uloɡ#
#ʔulu#,#ulu#
#ʔutin#,#utin#
#hutek#,#utok#
#huab#,#uwab#
#aŋkup#,#aːkup#
#hapin#,#aːpin#
#kahiw#,#aːjiw#
#haŋit#,#aːŋit#
#iaɡ#,#iːaɡ#
#ŋakŋak#,#ŋakŋak#
#ŋaŋa#,#ŋaŋa#
#ŋadʒan#,#ŋadan#
#ŋadʒan#,#ŋaːdan#
#kutu#,#uːtu#
