input,output
#mamaʔ#,#mah#
#idʒuŋ#,#aduŋ#
#anak#,#anaʔ#
#atas#,#ataih#
#hejup#,#ajup#
#haŋin#,#aŋin#
#duha#,#dua#
#ʔubi#,#hebej#
#ʔadʒeŋ#,#hedaŋ#
#ʔuzan#,#hedʒaːn#
#ʔuma#,#hema#
#ʔataj#,#hetaj#
#ʔuledʒ#,#hlat#
#ʔulun#,#hlun#
#wani#,#həni#
#zalan#,#dʒəlan#
#ɡatel#,#kətal#
#kahiw#,#kəjəw#
#malem#,#mlam#
#manuk#,#mənuʔ#
#mata#,#məta#
#paɡer#,#peɡa#
#paʔet#,#phaʔ#
#paʔit#,#phiʔ#
#baseʔ#,#pəsah#
#batuk#,#pətuk#
#batu#,#pətəw#
#laʔia#,#rəja#
#leŋa#,#rəŋa#
#talih#,#telej#
#ʔatimun#,#temun#
#tuʔah#,#tha#
#taʔun#,#thun#
#taʔu#,#thəw#
#tebuh#,#təbəw#
#taneʔ#,#tənah#
#laŋit#,#ŋit#
#buhek#,#ɓuk#
