input,output
#hipun#,#impun#
#ʔabuk#,#abuk#
#halas#,#alas#
#aliʔ#,#alih#
#ʔahelu#,#alu#
#ʔalun#,#alun#
#abaw#,#ambo#
#hamuk#,#amuk#
#anak#,#anak#
#ʔanitu#,#antu#
#apa#,#apa#
#hapuj#,#api#
#adʒan#,#aran#
#handem#,#arem#
#ʔadʒeŋ#,#areŋ#
#asat#,#asat#
#ʔasiʔ#,#asih#
#ʔatep#,#atep#
#ʔataj#,#ati#
#hawak#,#awak#
#awaŋ#,#awaŋ#
#ʔabu#,#awu#
#ʔaŋap#,#aŋap#
#haŋin#,#aŋin#
#aŋkub#,#aŋkub#
#hasaŋ#,#aŋsaŋ#
#haŋus#,#aŋus#
#huadʒi#,#aɖi#
#aduʔ#,#aɖuh#
#bakbak#,#babak#
#baʔaɡi#,#baɡi#
#balik#,#balik#
#bantiŋ#,#bantiŋ#
#baraŋ#,#baraŋ#
#baseʔ#,#basah#
#buʔaja#,#baja#
#baŋi#,#baŋi#
#batuk#,#baʈuk#
#bedʒbedʒ#,#bebed#
#belbel#,#bebel#
#bekas#,#bekas#
#bekuk#,#bekuk#
#belaŋ#,#belaŋ#
#beliʔ#,#beli#
#beluk#,#beluk#
#bena#,#bena#
#bener#,#bener#
#bentuk#,#bentuk#
#ber#,#ber#
#beŋel#,#beŋel#
#bekaʔ#,#beŋkah#
#beŋkuŋ#,#beŋkuŋ#
#beŋuŋ#,#beŋuŋ#
#bendul#,#beɳɖul#
#bilik#,#bilik#
#biluk#,#biluk#
#ʔembus#,#bos#
#busuk#,#bosok#
#buʔbuʔ#,#bubuh#
#bukbuk#,#bubuk#
#buka#,#buka#
#buket#,#buket#
#bulan#,#bulan#
#buntut#,#buntut#
#burit#,#burit#
#busuk#,#busuk#
#buteŋ#,#buteŋ#
#butun#,#butun#
#buŋkuk#,#buŋkuk#
#buŋkul#,#buŋkul#
#biʔak#,#bjak#
#zalan#,#dalan#
#dalem#,#dalem#
#dalit#,#dalit#
#ʔezen#,#den#
#zauʔ#,#doh#
#zukut#,#dukut#
#dekuŋ#,#dəkuŋ#
#deku#,#dəku#
#epuk#,#empok#
#empu#,#empu#
#ʔeti#,#enti#
#ʔetut#,#entut#
#ʔiuŋ#,#eoŋ#
#eter#,#eter#
#eɡik#,#eŋɡik#
#eŋɡuk#,#eŋɡok#
#eɡuk#,#eŋɡok#
#hekak#,#eŋkak#
#ekit#,#eŋket#
#ɡaris#,#ɡaris#
#ɡatel#,#ɡatel#
#ɡajam#,#ɡajam#
#ɡelap#,#ɡelap#
#ɡeret#,#ɡeret#
#ɡilap#,#ɡilap#
#ɡuham#,#ɡom#
#ʔi#,#hi#
#ʔimpun#,#himpun#
#ʔipun#,#himpun#
#ʔu#,#hu#
#inzak#,#idak#
#inzak#,#idʒak#
#iʔi#,#ihi#
#hiket#,#iket#
#irid#,#ilir#
#iliŋ#,#iliŋ#
#ilaw#,#ilo#
#imbaŋ#,#imbaŋ#
#impes#,#impes#
#ipes#,#impes#
#hipi#,#impi#
#hipi#,#ipi#
#inum#,#inum#
#ʔio#,#io#
#ʔiris#,#iris#
#iriŋ#,#iriŋ#
#idʒuŋ#,#iruŋ#
#ʔis#,#is#
#hisuʔ#,#isuh#
#ʔitem#,#item#
#ʔiŋɡa#,#iŋɡa#
#ised#,#iŋsed#
#ʔisep#,#iŋsep#
#ʔisep#,#isep#
#ʔitem#,#iʈem#
#zaʔat#,#dʒahat#
#zaʔit#,#dʒait#
#zariŋ#,#dʒariŋ#
#kazaŋ#,#kadʒaŋ#
#kaka#,#kaka#
#kakakₐ#,#kakak#
#karaŋ#,#karaŋ#
#kahiw#,#kaju#
#kembuŋ#,#kembuŋ#
#kamiri#,#kemiri#
#keriʔik#,#kerik#
#keŋkeŋ#,#keŋkeŋ#
#keteŋ#,#keɳʈeŋ#
#kik#,#kik#
#kilap#,#kilap#
#kima#,#kima#
#kuak#,#kok#
#datu#,#kraton#
#kupkup#,#kukup#
#kumis#,#kumis#
#kunidʒ#,#kunir#
#kusik#,#kusik#
#kubu#,#kuwu#
#kanari#,#kənari#
#laki#,#laki#
#laledʒ#,#laler#
#lalu#,#lalu#
#lamak#,#lamak#
#lampaʔ#,#lampah#
#lamuk#,#lamuk#
#lapis#,#lapis#
#ʔelad#,#lar#
#lateŋ#,#lateŋ#
#laban#,#lawan#
#laŋit#,#laŋit#
#laŋkaʔ#,#laŋkah#
#leplep#,#lelep#
#lelep#,#lelep#
#lesuŋ#,#lesuŋ#
#ʔelet#,#let#
#leŋa#,#leŋa#
#leŋen#,#leŋen#
#liŋ#,#liŋ#
#lisehaʔ#,#liŋsa#
#liseʔah#,#liŋsa#
#luas#,#los#
#luʔar#,#luar#
#luheʔ#,#luh#
#lumbuŋ#,#lumbuŋ#
#lumut#,#lumut#
#luʔepit#,#lupit#
#lubaŋ#,#luwaŋ#
#lebiʔ#,#luwih#
#liaŋ#,#lεŋ#
#palu#,#malu#
#mamaʔ#,#mamah#
#manuk#,#manuk#
#badʒaʔ#,#marah#
#parud#,#marud#
#mata#,#mata#
#batuk#,#matuk#
#betu#,#metu#
#peɲu#,#meɲu#
#beŋa#,#meŋa#
#miɲak#,#miɲak#
#buŋkuʔ#,#mukuh#
#bukuʔ#,#mukuh#
#pulut#,#mulut#
#bubuŋ#,#muwuŋ#
#buŋkuk#,#muŋkuk#
#tazem#,#nadʒem#
#zalan#,#nalan#
#tales#,#nales#
#tambak#,#nambak#
#tambal#,#nambal#
#nanaʔ#,#nanah#
#tabuʔan#,#nawon#
#timba#,#nimba#
#nipaʔ#,#nipah#
#nues#,#nus#
#nusa#,#nusa#
#waŋkaŋ#,#onkaŋ#
#wada#,#oraː#
#paɡer#,#paɡer#
#paʔit#,#pahit#
#paʔit#,#pait#
#palaŋ#,#palaŋ#
#palu#,#palu#
#panas#,#panas#
#panaj#,#pane#
#paʔpaʔ#,#papah#
#papaʔ#,#papah#
#papan#,#papan#
#parud#,#parud#
#pasaŋ#,#pasaŋ#
#pasuŋ#,#pasuŋ#
#epat#,#pat#
#paŋedan#,#paɳɖan#
#hapedʒiʔ#,#perih#
#pes#,#pes#
#peɲu#,#peɲu#
#peŋ#,#peŋ#
#pihpih#,#pipi#
#pisaw#,#piso#
#puk#,#puk#
#pulut#,#pulut#
#pus#,#pus#
#pusedʒ#,#puser#
#pusuʔ#,#pusuh#
#putat#,#putat#
#putiʔ#,#putih#
#putul#,#puʈul#
#panahik#,#penek#
#daʔih#,#rai#
