input,output
#ambit#,#ambit#
#ampun#,#ampun#
#apuŋ#,#ampuŋ#
#anak#,#anak#
#ʔanit#,#anit#
#hasak#,#ansak#
#hasaʔ#,#asa#
#baba#,#babo#
#baluʔ#,#bahu#
#balik#,#balik#
#biŋku#,#biŋku#
#beli#,#bohi#
#busbus#,#bubus#
#taʔi#,#buhavan#
#daŋdaŋ#,#dadaŋ#
#dalidʒ#,#dahid#
#dakit#,#dakit#
#dapet#,#dampot#
#dilaʔ#,#dihaʔ#
#deket#,#dokot#
#dulaʔ#,#duhaʔ#
#duha#,#duvo#
#dujuŋ#,#duzuŋ#
#zalan#,#dahan#
#ɡiliŋ#,#ɡiliŋ#
#salaʔ#,#hasaʔ#
#laban#,#havan#
#laʔia#,#hazo#
#likuʔ#,#hiku#
#limbun#,#himbun#
#liput#,#hiput#
#lebiʔ#,#hobi#
#reŋɡeŋ#,#hoɡoŋ#
#reɡeŋ#,#hoɡoŋ#
#laŋesi#,#honsi#
#laŋsi#,#honsi#
#leŋen#,#hoŋon#
#ina#,#ina#
#inum#,#inum#
#hipi#,#ipi#
#ʔisep#,#isop#
#hisuʔ#,#isu#
#ʔitem#,#itom#
#iŋat#,#iŋat#
#kampis#,#kampis#
#kasaw#,#kasaw#
#kahiw#,#kazu#
#kilap#,#kihap#
#kikik#,#kikik#
#kima#,#kimo#
#ketep#,#kotop#
#ketuʔ#,#kotuʔ#
#ɡuham#,#kuam#
#kulat#,#kuhat#
#kumbal#,#kumba#
#kudʒa#,#kuo#
#kutu#,#kutu#
#manuk#,#manuk#
#nanaʔ#,#nanaʔ#
#natad#,#natad#
#na#,#no#
#hemis#,#omis#
#epus#,#ompus#
#hapedʒiʔ#,#opodi#
#hapedʒes#,#opodos#
#paladʒ#,#pahad#
#panaw#,#panau#
#paʔpaʔ#,#papaʔ#
#pasaŋ#,#pasaŋ#
#pikel#,#piko#
#pispis#,#pipis#
#pipis#,#pipis#
#pened#,#ponod#
#pulut#,#puhut#
#puket#,#pukot#
#pusedʒ#,#pusod#
#putul#,#putul#
#puʔun#,#puun#
#sakaj#,#sakaj#
#sakaj#,#sakaj#
#sakit#,#sakit#
#sapu#,#sapu#
#saʔebit#,#savit#
#sidʒi#,#sii#
#sedep#,#sodop#
#sulam#,#sulam#
#talih#,#tahi#
#talun#,#tahun#
#taʔi#,#tai#
#tamaʔ#,#tamaʔ#
#taneʔ#,#tanaʔ#
#tanem#,#tanom#
#taŋkas#,#taŋkas#
#taŋkub#,#taŋkub#
#takub#,#taŋkub#
#tian#,#tizan#
#tebuh#,#tobu#
#taliŋa#,#tohiŋo#
#telen#,#tohon#
#esuŋ#,#tosuŋ#
#taʔun#,#toun#
#tuzuk#,#tuduk#
#tuluŋ#,#tuhuŋ#
#tumbuk#,#tumbuk#
#ʔupa#,#tupo#
#tutur#,#tutul#
#uliʔ#,#uhi#
#upaʔ#,#upa#
#ʔuʔus#,#uus#
#huab#,#uvab#
#bakas#,#vakas#
#bataŋ#,#vataŋ#
#batu#,#vatu#
#baŋun#,#vaŋun#
#biʔak#,#viak#
#betik#,#votik#
#beŋi#,#voŋi#
#bulan#,#vuhan#
#bulu#,#vuhu#
#bukuh#,#vuku#
#ŋadʒan#,#ŋaan#
