input,output
#kahiw#,#ai#
#ʔazaj#,#ala#
#kalaw#,#ala#
#anak#,#ana#
#hasaŋ#,#asa#
#ʔasu#,#asu#
#epiʔ#,#epi#
#epit#,#epit#
#esuŋ#,#esun#
#hetek#,#ete#
#ʔetut#,#etut#
#balu#,#haru#
#batu#,#hatu#
#beliʔ#,#heri#
#beluk#,#heru#
#betu#,#hetu#
#bitak#,#hita#
#betu#,#hotu#
#buaʔ#,#hua#
#buhat#,#hua#
#buhat#,#hua#
#buʔaja#,#huaj#
#bulan#,#huran#
#bulu#,#huru#
#busaj#,#huse#
#buʔut#,#huut#
#hikan#,#ika#
#imu#,#imi#
#zalan#,#lalan#
#laŋit#,#lanit#
#zauʔ#,#lau#
#manuk#,#manu#
#mata#,#mata#
#miɲak#,#mina#
#ŋadʒan#,#nala#
#ʔanitu#,#nitu#
#palu#,#palu#
#peɲu#,#penu#
#putiʔ#,#puti#
#siraʔ#,#sira#
#siwa#,#siwa#
#sudʒa#,#sura#
#tanem#,#tane#
#tasik#,#tasi#
#tebuh#,#tehu#
