input,output
#ka#,#ka#
#a#,#a#
#ʔabu#,#abu#
#ʔaledʒaw#,#aldo#
#ʔamihan#,#amian#
#ʔanahaw#,#anaw#
#hezam#,#andam#
#ʔanibuŋ#,#aniboŋ#
#anak#,#anak#
#ʔanitu#,#anito#
#peceʔ#,#apsaʔ#
#ʔapah#,#apa#
#ampu#,#apu#
#sapak#,#aspak#
#asuk#,#asuk#
#tebuh#,#atbu#
#teken#,#atkan#
#tian#,#atjan#
#ʔatep#,#atap#
#ʔaŋab#,#aŋab#
#anak#,#aːnak#
#babaʔ#,#babaʔ#
#bakbak#,#bakbak#
#bekas#,#bakas#
#badas#,#balas#
#balik#,#balik#
#banua#,#banwa#
#batu#,#batu#
#bahu#,#bau#
#biladʒ#,#bilad#
#binehiʔ#,#biniʔ#
#bitbit#,#bitbit#
#bities#,#bitis#
#bituka#,#bituka#
#buʔbuʔ#,#bubu#
#bukbuk#,#bukbuk#
#bukal#,#bukal#
#bukuh#,#buku#
#bulan#,#bulan#
#bulati#,#bulati#
#buluŋ#,#buluŋ#
#bunut#,#bunut#
#busbus#,#busbus#
#busbus#,#busbus#
#buhat#,#buat#
#buɲi#,#buɲi#
#buhek#,#bwak#
#baɡeʔaŋ#,#baɡaŋ#
#badʒaʔ#,#balaʔ#
#buŋkul#,#bukul#
#budʒeʔ#,#bulaʔ#
#bunduk#,#bunduk#
#buteʔul#,#butul#
#butuʔ#,#butuʔ#
#buŋa#,#buŋa#
#danum#,#danum#
#dapdap#,#dapdap#
#diŋdiŋ#,#dindiŋ#
#zalan#,#dalan#
#dateŋ#,#dataŋ#
#dilaʔ#,#dilaʔ#
#ɡasɡas#,#ɡasɡas#
#ɡatel#,#ɡatal#
#ɡiliŋ#,#ɡiliŋ#
#ihi#,#ii#
#ida#,#ila#
#inum#,#inum#
#ihiʔ#,#iʔ#
#kauŋ#,#kauŋ#
#kiak#,#kijak#
#kukuh#,#kuku#
#kapit#,#kapit#
#kutu#,#kutu#
#laɲa#,#laɲa#
#ɲilu#,#liɲo#
#luŋkas#,#lukas#
#lukas#,#lukas#
#luheʔ#,#luaʔ#
#laban#,#laban#
#lakadʒ#,#lakad#
#laʔia#,#laja#
#lulun#,#lulun#
#lumut#,#lumut#
#manuk#,#manuk#
#mata#,#mata#
#na#,#na#
#nabuʔ#,#nabuʔ#
#nanaʔ#,#nanaʔ#
#ɲikɲik#,#niknik#
#nakaw#,#nako#
#palaʔpaʔ#,#palapaʔ#
#pandak#,#pandak#
#hapedʒes#,#paras#
#paʔet#,#pat#
#paʔit#,#paʔit#
#pintik#,#pitik#
#pitik#,#pitik#
#pulut#,#pulut#
#puʔun#,#pun#
#putat#,#putat#
#paladʒ#,#palad#
#pusedʒ#,#pusad#
#pusuʔ#,#pusuʔ#
#sakaj#,#sake#
#sakit#,#sakit#
#salaʔ#,#salaʔ#
#sasah#,#sasa#
#saŋa#,#saŋa#
#siraʔ#,#siraʔ#
#suluʔ#,#suluʔ#
#saʔebit#,#sabit#
#siŋeʔit#,#siŋit#
#siŋʔit#,#siŋit#
#tahiʔ#,#tahiʔ#
#taŋkep#,#takap#
#takep#,#takap#
#talih#,#taliʔ#
#tiŋah#,#tiŋaʔ#
#tuʔah#,#tua#
#tumah#,#tuma#
#tuhud#,#tuʔud#
#tuhud#,#tud#
#tabun#,#tabun#
#tajtaj#,#tete#
#tubuʔ#,#tubuʔ#
#tumbuʔ#,#tubuʔ#
#tulak#,#tulak#
#uliʔ#,#uliʔ#
#unah#,#una#
#ʔuzan#,#uran#
#hujeʔab#,#ujab#
#wakat#,#wakat#
#wanan#,#wanan#
#ʔahelu#,#alo#
#ʔalun#,#alun#
#ampu#,#apu#
#hasaŋ#,#asaŋ#
#esuŋ#,#asuŋ#
#ʔataj#,#ate#
#awaŋ#,#awaŋ#
#hiket#,#ikat#
#ipen#,#ipan#
#ipes#,#ipas#
#hituʔ#,#ituʔ#
#iŋat#,#iŋat#
#ʔuledʒ#,#ulad#
#upaʔ#,#upa#
#hutek#,#utak#
#ʔutaŋ#,#utaŋ#
#ŋisŋis#,#ŋisŋis#
