input,output
#ʔataj#,#ade#
#atu#,#adu#
#ʔatulaj#,#adule#
#hapuj#,#ahi#
#sai#,#ai#
#zalan#,#ala#
#saŋa#,#aŋa#
#papan#,#baba#
#pilit#,#bili#
#bukuh#,#buɡu#
#bulat#,#bula#
#bulan#,#bula#
#bulut#,#bulu#
#taŋis#,#daŋi#
#teken#,#doɡo#
#tunu#,#dunu#
#ʔanitu#,#eidu#
#kiₐ#,#ɡi#
#kulit#,#ɡili#
#kima#,#ɡima#
#kutu#,#ɡudu#
#epat#,#haa#
#batu#,#hadu#
#salaʔ#,#hala#
#buhat#,#hua#
#buaʔ#,#hua#
#buka#,#huɡe#
#puliŋ#,#huli#
#bulu#,#hulu#
#iʔi#,#ii#
#daʔih#,#lae#
#daŋdaŋ#,#lala#
#lamuk#,#lamu#
#dahun#,#lau#
#laŋit#,#laŋi#
#luaŋ#,#lua#
#duha#,#lua#
#mata#,#mada#
#mapu#,#mahu#
#mamaʔ#,#mama#
#mimi#,#mimi#
#ʔatep#,#odo#
#tasik#,#tai#
#taʔun#,#tau#
#udʒan#,#uda#
#ʔutan#,#uda#
#ʔutud#,#udu#
#suliɡ#,#uli#
#surup#,#ulu#
#ʔuhenap#,#una#
