input,output
#ʔanitu#,#antu#
#ʔuma#,#uma#
#ʔambat#,#abat#
#ʔabin#,#abin#
#habit#,#abit#
#ʔabu#,#abu#
#aduʔ#,#adu#
#ʔadʒeŋ#,#aɡeŋ#
#huadʒi#,#aɡi#
#ʔambat#,#ambat#
#abaŋ#,#ambaŋ#
#anak#,#anak#
#apa#,#apa#
#hapuj#,#api#
#ʔapit#,#apit#
#hapit#,#apit#
#hasaʔ#,#asah#
#hasek#,#asek#
#ʔataj#,#ate#
#hawak#,#awak#
#haŋin#,#aŋin#
#ba#,#ba#
#baba#,#baba#
#baʔbaʔ#,#babah#
#badʒaʔ#,#baɡah#
#baʔaɡi#,#baɡi#
#bak#,#bak#
#bakbak#,#bakbak#
#baliw#,#bali#
#balik#,#balik#
#baraŋ#,#baraŋ#
#bataŋ#,#bataŋ#
#batu#,#batu#
#batuk#,#batuk#
#bahu#,#bau#
#baŋun#,#baŋun#
#beka#,#beka#
#bekas#,#bekas#
#belat#,#belat#
#belat#,#belat#
#bekeladʒ#,#belaŋ#
#belbel#,#belbel#
#belit#,#belit#
#bena#,#bena#
#besaʔ#,#bencah#
#bentuk#,#bentuk#
#beŋaŋ#,#beŋaŋ#
#beŋkuŋ#,#beŋkuŋ#
#bidiŋ#,#bidiŋ#
#bilik#,#bilik#
#bituka#,#bituka#
#biŋkas#,#biŋkas#
#bawbaw#,#bobo#
#buaʔ#,#buah#
#buʔaja#,#buaja#
#busbus#,#bubus#
#butbut#,#bubut#
#buis#,#buis#
#buka#,#buka#
#bukuh#,#buku#
#bulan#,#bulan#
#buluŋ#,#buluŋ#
#buni#,#buni#
#busuk#,#busuk#
#buta#,#buta#
#buŋa#,#buŋa#
#buŋkas#,#buŋkas#
#bukas#,#buŋkas#
#cikep#,#cikep#
#zalan#,#dalan#
#dalikan#,#dalikan#
#zauʔ#,#dauh#
#depuk#,#depuk#
#dilaʔ#,#dilah#
#dilap#,#dilap#
#diŋdiŋ#,#diŋdiŋ#
#duha#,#dua#
#ʔeŋkem#,#ekem#
#ʔelaŋ#,#elaŋ#
#ʔembus#,#embus#
#epat#,#empat#
#empu#,#empu#
#ekap#,#eŋkap#
#eŋkek#,#eŋkek#
#ekek#,#eŋkek#
#ɡapɡap#,#ɡapɡap#
#ɡaris#,#ɡaris#
#ɡatel#,#ɡatel#
#ɡatɡat#,#ɡatɡat#
#ɡikɡik#,#ɡekɡek#
#ʔeteŋ#,#henteŋ#
#ʔi#,#i#
#ibuk#,#ibuk#
#idʒuŋ#,#iɡuŋ#
#hikan#,#ikan#
#hiket#,#iket#
#ikut#,#ikut#
#ilap#,#ilap#
#imbaŋ#,#imbaŋ#
#ʔimpun#,#impun#
#ʔipun#,#impun#
#ʔisep#,#incep#
#ipen#,#ipen#
#ipes#,#ipes#
#ʔitem#,#item#
#zaʔat#,#dʒahat#
#zemak#,#dʒemak#
#kaka#,#kaka#
#kamu#,#kam#
#kamu#,#kamu#
#kasaw#,#kaso#
#kahiw#,#kaju#
#kek#,#kek#
#kempu#,#kempu#
#keɲedʒ#,#keneŋ#
#katadu#,#ketadu#
#keteŋ#,#keteŋ#
#ketuk#,#ketuk#
#keŋ#,#keŋ#
#keŋkeŋ#,#keŋkeŋ#
#kiak#,#kiak#
#kilap#,#kilap#
#kilat#,#kilat#
#kudin#,#kudin#
#kudʒa#,#kuɡa#
#kulit#,#kulit#
#kunidʒ#,#kuniŋ#
#kutu#,#kutu#
#kuŋ#,#kuŋ#
#ladiŋ#,#ladiŋ#
#laki#,#laki#
#lampaŋ#,#lapaŋ#
#lateŋ#,#lateŋ#
#laŋit#,#laŋit#
#laŋkaʔ#,#laŋkah#
#lebiʔ#,#lebih#
#lemer#,#lemer#
#lepit#,#lempit#
#leŋa#,#leŋa#
#leŋɡur#,#leŋɡur#
#leɡur#,#leŋɡur#
#liaŋ#,#liaŋ#
#limun#,#limun#
#lintik#,#lintik#
#litik#,#lintik#
#lintik#,#lentik#
#litik#,#lentik#
#lisehaʔ#,#lisa#
#liseʔah#,#lisa#
#litek#,#litek#
#luab#,#luam#
#luʔar#,#luar#
#lubaŋ#,#lubaŋ#
#luka#,#luka#
#lumut#,#lumut#
#lupa#,#lupa#
#paʔet#,#mahat#
#palu#,#malu#
#mama#,#mama#
#manuk#,#manuk#
#mata#,#mata#
#bentuk#,#mbentuk#
#bulan#,#mbulan#
#bulu#,#mbulu#
#buŋkas#,#mbuŋkas#
#bukas#,#mbuŋkas#
#buhat#,#muat#
#musaŋ#,#musaŋ#
#buŋa#,#muŋa#
#namaw#,#namo#
#ɲamuk#,#namuk#
#nanaʔ#,#nanah#
#tanem#,#nanem#
#sapu#,#napu#
#nihawa#,#nawa#
#daki#,#ndaki#
#telen#,#nelen#
#ʔanibuŋ#,#nibuŋ#
#nipaʔ#,#nipah#
#nipaj#,#nipe#
#suʔan#,#nuan#
#susun#,#nusun#
#tutuŋ#,#nutuŋ#
#huj#,#oe#
#paʔet#,#pahat#
#pakan#,#pakan#
#paliŋ#,#paliŋ#
#panas#,#panas#
#paŋedan#,#pandan#
#panaw#,#pano#
#papan#,#papan#
#pasaŋ#,#pasaŋ#
#paŋ#,#paŋ#
#peceʔ#,#pecah#
#hapedʒiʔ#,#peɡih#
#pespes#,#pespes#
#pihpih#,#pipi#
#pisaw#,#piso#
#puaŋ#,#puaŋ#
#puk#,#puk#
#pupu#,#pupu#
#pus#,#pus#
#pusuʔ#,#pusuh#
#pusedʒ#,#pusuŋ#
#putiʔ#,#putih#
#rara#,#rara#
#saʔebit#,#sabit#
#saɡu#,#saɡu#
#sakit#,#sakit#
#salaʔ#,#salah#
#sampaj#,#sampe#
#sebuh#,#sebu#
#sepaŋ#,#sepaŋ#
#sidʒi#,#siɡi#
#simpaŋ#,#simpaŋ#
#siksik#,#sisik#
#sudʒa#,#suɡa#
#suku#,#suku#
#suli#,#suli#
#suluʔ#,#suluh#
#suŋkuk#,#suŋkuk#
#sukuk#,#suŋkuk#
#tak#,#tak#
#talih#,#tali#
#talun#,#talun#
#tambak#,#tambak#
#tambar#,#tambar#
#taneʔ#,#taneh#
#tanem#,#tanem#
#taŋɡa#,#taŋɡa#
#taŋis#,#taŋis#
#takaw#,#taŋko#
#teɡel#,#teɡel#
#teli#,#teli#
#teŋ#,#teŋ#
#teŋaʔ#,#teŋah#
#tuʔah#,#tua#
#ʔatuan#,#tuan#
#tuk#,#tuk#
#tuʔelan#,#tulan#
#tultul#,#tultul#
#tumah#,#tuma#
#tumpul#,#tumpul#
#tutur#,#tutur#
#tebuh#,#təbu#
#ʔuban#,#uban#
#ʔuzan#,#udan#
#ʔuzuŋ#,#udʒuŋ#
#ukir#,#ukir#
#ʔulu#,#ulu#
#wani#,#wani#
#ŋak#,#ŋak#
#ŋakŋak#,#ŋakŋak#
#ŋasŋas#,#ŋasŋas#
#ŋaŋa#,#ŋaŋa#
#ŋaŋŋaŋ#,#ŋaŋŋaŋ#
#ŋaŋaŋ#,#ŋaŋŋaŋ#
#ŋiŋ#,#ŋiŋ#
#ŋuda#,#ŋuda#
#ŋuŋ#,#ŋuŋ#
