input,output
#ʔabu#,#abu#
#aŋkup#,#akop#
#anak#,#anak#
#ʔanahaw#,#anaw#
#ʔanit#,#anit#
#hapuj#,#apuj#
#aren#,#aren#
#hasaŋ#,#asaŋ#
#ʔasiʔ#,#aseʔ#
#ʔataj#,#ataj#
#atip#,#atip#
#ʔatip#,#atip#
#ʔabu#,#avew#
#awaŋ#,#awaŋ#
#aɲam#,#aɲam#
#badʒaʔ#,#badaʔ#
#baŋkuʔ#,#bakoʔ#
#bakuʔ#,#bakoʔ#
#baseʔ#,#basaʔ#
#bataŋ#,#bataŋ#
#batu#,#batu#
#batu#,#batə#
#bahuʔ#,#baʔoʔ#
#bahu#,#baʔu#
#bahuʔ#,#baʔuʔ#
#beŋkuŋ#,#bekoŋ#
#balabaw#,#belabaw#
#beli#,#beli#
#bena#,#bena#
#betak#,#betak#
#betik#,#betik#
#bituka#,#betuka#
#bitik#,#bitik#
#buaʔ#,#buaʔ#
#buka#,#buka#
#bukuh#,#buku#
#bulan#,#bulan#
#budaʔ#,#buraʔ#
#burit#,#burit#
#busuk#,#busok#
#zauʔ#,#coʔ#
#dalem#,#daləm#
#adani#,#daniʔ#
#duha#,#dua#
#paʔit#,#faʔidʒ#
#ɡatel#,#ɡatən#
#ida#,#ida#
#idi#,#idi#
#ileŋ#,#ileŋ#
#iut#,#iut#
#zalan#,#dʒalan#
#kajaw#,#kajaw#
#kahiw#,#kaju#
#kahiw#,#kaju#
#kahiw#,#kajəw#
#kahu#,#kaʔəw#
#eŋkeb#,#kep#
#ekeb#,#kep#
#kudʒa#,#kuda#
#kutu#,#kutu#
#kutu#,#kutəw#
#kezeŋ#,#kədʒəŋ#
#laki#,#laki#
#laki#,#lakəj#
#adani#,#laniʔ#
#laŋit#,#laŋit#
#dahun#,#laʔun#
#lepaw#,#lepaw#
#leŋen#,#leŋen#
#laʔia#,#lia#
#liaŋ#,#liaŋ#
#liaŋ#,#liaŋ#
#lisehaʔ#,#liʔa#
#liseʔah#,#liʔa#
#ʔahelu#,#lu#
#aluten#,#luten#
#duha#,#luə#
#duha#,#luəj#
#laʔia#,#ləzo#
#mata#,#mata#
#embeŋ#,#mbeŋ#
#ebun#,#mbun#
#anipa#,#nipah#
#panas#,#pana#
#epat#,#pat#
#bahaʔ#,#paʔ#
#buhek#,#puk#
#pulut#,#pulut#
#pusuʔ#,#pusuʔ#
#pusedʒ#,#pusət#
#putiʔ#,#puteʔ#
#putiʔ#,#putiʔ#
#putul#,#putun#
#puʔun#,#puʔon#
#sakit#,#sakit#
#salaʔ#,#salaʔ#
#cekep#,#sekep#
#talih#,#tali#
#talih#,#tali#
#taneʔ#,#tanaʔ#
#taneʔ#,#tanaʔ#
#ʔaledʒaw#,#taw#
#tawa#,#tawa#
#taŋis#,#taŋe#
#taʔu#,#taʔu#
#taʔu#,#taʔəw#
#hetek#,#tek#
#taliŋa#,#teliŋa#
#taliŋa#,#teliŋe#
#tuʔah#,#tuʔa#
#teka#,#təka#
#tebuh#,#təpu#
#tebuh#,#təɓu#
#tebuh#,#təɓəw#
#ʔuban#,#uban#
#ʔubi#,#ubi#
#ʔubudʒ#,#ubut#
#uduʔ#,#udoʔ#
#uduʔ#,#udoʔ#
#ʔuzan#,#udʒan#
#uliʔ#,#uliʔ#
#ʔulu#,#uləw#
#ʔuma#,#uma#
#ubuŋ#,#umboŋ#
#ebun#,#vun#
#ɲatuʔ#,#ɲatoʔ#
#ʔanibuŋ#,#ɲibuŋ#
#ŋadʒan#,#ŋadan#
#ŋadʒan#,#ŋaran#
#buhek#,#ɓuk#
