input,output
#ʔanunu#,#anunu#
#kataman#,#atama#
#duha#,#hua#
#hikan#,#iha#
#dujuŋ#,#lui#
#manuk#,#manu#
#mata#,#mata#
#talaʔ#,#motala#
#beli#,#oli#
#batu#,#patu#
#peɲu#,#ponu#
#puket#,#puo#
#putul#,#putu#
#sakaj#,#sae#
#sai#,#sei#
#taʔaj#,#tahe#
#talisaj#,#talire#
#taliŋa#,#taliŋa#
#taneʔ#,#tano#
#tasik#,#tari#
#taŋis#,#taŋi#
#tajtaj#,#tete#
#tebuh#,#tou#
#tuaj#,#tue#
#tumah#,#tuma#
#tunu#,#tunu#
#tubuʔ#,#tuvu#
#tumbuʔ#,#tuvu#
#ʔuma#,#umo#
#buaʔ#,#vua#
#ŋisŋis#,#ŋiŋi#
