input,output
#tabuni#,#afuni#
#talih#,#ali#
#tales#,#alo#
#talun#,#alu#
#taneʔ#,#ano#
#tasik#,#asi#
#baraŋ#,#bala#
#picik#,#bisi#
#buaʔ#,#bua#
#buliʔ#,#buli#
#burit#,#buli#
#deŋan#,#doŋa#
#pai#,#fai#
#balaj#,#fale#
#panahik#,#fane#
#banua#,#fanua#
#bilat#,#fila#
#pirit#,#fili#
#biseʔak#,#fita#
#bekaʔ#,#foɡa#
#beli#,#foli#
#peɲu#,#fonu#
#buhat#,#fua#
#buʔaja#,#fuala#
#busbus#,#fufu#
#bulan#,#fula#
#bunuʔ#,#funu#
#bakuŋ#,#haʔu#
#ibut#,#ifu#
#ʔiŋet#,#iŋo#
#daŋdaŋ#,#lala#
#dalidʒ#,#lali#
#ʔatep#,#lao#
#ʔasu#,#lasu#
#adʒan#,#lata#
#ʔazaj#,#late#
#laŋaw#,#laŋo#
#laʔia#,#lia#
#lisehaʔ#,#lita#
#liseʔah#,#lita#
#duha#,#lua#
#manuk#,#manu#
#mimi#,#mimi#
#ɲamuk#,#namu#
#nanaʔ#,#nana#
#tebuh#,#ofu#
#uliʔ#,#oli#
#siwa#,#sikwa#
#suʔan#,#sua#
#zaʔit#,#tai#
#zalan#,#tala#
#salaʔ#,#tala#
#sakaj#,#taʔe#
#ʔubi#,#ufi#
#ʔumaj#,#ume#
#ʔumun#,#umu#
#tunu#,#unu#
#ʔunzur#,#usu#
#ʔuzan#,#uta#
#kahiw#,#ʔai#
#kanawaj#,#ʔanakwe#
#kasaw#,#ʔato#
#kudʒa#,#ʔuutaa#
