input,output
#hapun#,#apun#
#haŋin#,#aŋin#
#bahaʔ#,#ba#
#balik#,#balik#
#dapet#,#dapeʔ#
#ema#,#ema#
#siwa#,#hiwa#
#ia#,#ia#
#hikan#,#ikan#
#ʔilih#,#ile#
#ina#,#ina#
#ipen#,#ipen#
#idʒuŋ#,#irun#
#kumaŋ#,#kuma#
#kima#,#kima#
#laki#,#lake#
#laʔia#,#lia#
#luheʔ#,#lou#
#lulun#,#lulu#
#luaʔ#,#lua#
#lebuʔ#,#ləwo#
#mama#,#mama#
#manuk#,#manuk#
#ŋadʒan#,#nara#
#naŋuj#,#naŋe#
#nusa#,#nuha#
#telen#,#nələ#
#paʔit#,#pait#
#palu#,#palu#
#panaw#,#pana#
#epat#,#pat#
#zalan#,#rara#
#duha#,#rua#
#saʔebit#,#sawiʔ#
#suku#,#suku#
#tambal#,#taba#
#tasak#,#tahak#
#tasik#,#tahik#
#tamaʔ#,#tama#
#taneʔ#,#tana#
#taŋis#,#tani#
#tebaŋ#,#toba#
#tuʔah#,#tua#
#tutur#,#tutuʔ#
#teka#,#təka#
#tepak#,#təpak#
#tepak#,#təpak#
#tabuʔan#,#təwua#
#ʔutan#,#utan#
