input,output
#talih#,#ali#
#tales#,#alo#
#talun#,#alu#
#taneʔ#,#ano#
#tanem#,#ano#
#tasik#,#asi#
#papan#,#baba#
#baliw#,#bali#
#bara#,#bara#
#buhat#,#bua#
#buhat#,#bua#
#buliʔ#,#buli#
#buluʔ#,#bulu#
#buluŋ#,#bulu#
#burit#,#buri#
#daʔani#,#dani#
#deŋan#,#doŋa#
#baba#,#fafa#
#panahik#,#fane#
#banua#,#fanua#
#pirit#,#firi#
#babaw#,#fofo#
#bekaʔ#,#foɡa#
#bekeladʒ#,#fola#
#peɲu#,#fonu#
#batu#,#fou#
#buʔaja#,#fuasa#
#bukbuk#,#fufu#
#bukbuk#,#fufu#
#butbut#,#fufu#
#buŋbuŋ#,#fufu#
#budaʔ#,#fula#
#bulan#,#fula#
#bulu#,#fulu#
#buni#,#funi#
#bunuʔ#,#funu#
#pintik#,#fiː#
#pitik#,#fiː#
#butun#,#fuː#
#puʔun#,#fuː#
#buhat#,#fuːa#
#kabut#,#ɡafu#
#kamu#,#ɡamu#
#ibut#,#ifu#
#tindaw#,#iro#
#idʒuŋ#,#isu#
#kerit#,#kori#
#picik#,#kwisi#
#lambuk#,#labu#
#laŋket#,#laɡo#
#laket#,#laɡo#
#lawaʔ#,#lakʷa#
#dalidʒ#,#lali#
#dalem#,#lalo#
#laŋaw#,#laŋo#
#lian#,#lia#
#lisehaʔ#,#lite#
#liseʔah#,#lite#
#liu#,#liu#
#lian#,#liaː#
#ludʒan#,#luda#
#luŋkas#,#luka#
#lukas#,#luka#
#aluluŋ#,#lulu#
#lumut#,#lumu#
#manuk#,#manu#
#mimi#,#mimi#
#mata#,#maː#
#muʔuŋ#,#muː#
#na#,#na#
#nanaʔ#,#nana#
#niniʔ#,#nini#
#ebun#,#ofu#
#hebun#,#ofu#
#tebuh#,#ofu#
#ena#,#ona#
#dapdap#,#rara#
#daŋdaŋ#,#rara#
#duha#,#rua#
#a#,#sa#
#ʔataj#,#sae#
#ʔatep#,#sao#
#ʔasu#,#sasu#
#adʒan#,#sata#
#hasaʔ#,#sata#
#siwa#,#sikwa#
#ziuʔ#,#siu#
#surup#,#suː#
#sakaj#,#tae#
#sakaj#,#tae#
#sapa#,#tafa#
#sapu#,#tafu#
#zaʔit#,#tai#
#sai#,#tai#
#sai#,#tei#
#zalan#,#tala#
#salaʔ#,#tala#
#zauʔ#,#tau#
#zaʔat#,#taː#
#ʔumun#,#umu#
#usuʔ#,#usu#
#ʔunzur#,#usu#
#ʔuzan#,#uta#
#tawan#,#aːkwa#
#taŋis#,#aːŋi#
#tian#,#iːa#
#ŋeŋeŋ#,#ŋoŋoː#
#ŋuŋ#,#ŋuː#
#tunu#,#uːnu#
#kahiw#,#ʔai#
#kasaw#,#ʔato#
#kua#,#ʔua#
#kutu#,#ʔuː#
