input,output
#ha#,#a#
#kahiw#,#ai#
#anak#,#ana#
#ʔadʒeŋ#,#arna#
#hasaŋ#,#asna#
#ʔataj#,#ati#
#ʔabu#,#awu#
#peɲu#,#enu#
#ʔilih#,#ili#
#ina#,#ina#
#ʔina#,#ine#
#ida#,#ira#
#idʒuŋ#,#irnu#
#ɡatel#,#katla#
#kukuh#,#kuku#
#ʔaledʒaw#,#lera#
#laʔia#,#lia#
#laŋit#,#lianti#
#liaŋ#,#liena#
#luheʔ#,#lui#
#lumut#,#lumtu#
#wanan#,#anna#
#mata#,#mata#
#miɲak#,#mina#
#na#,#na#
#naŋuj#,#nani#
#nanaʔ#,#nanna#
#nasu#,#nasu#
#ʔanitu#,#nitu#
#nuka#,#nua#
#nunuk#,#nunu#
#nusa#,#nusa#
#ŋadʒan#,#naːna#
#huni#,#oni#
#balu#,#palu#
#panas#,#pansa#
#dalem#,#rarma#
#duha#,#rua#
#salaʔ#,#sala#
#sapu#,#sapu#
#suli#,#suli#
#suluʔ#,#sulu#
#taʔ#,#ta#
#talih#,#tali#
#tasik#,#taski#
#taʔi#,#tei#
#tebuh#,#tewu#
#tanem#,#tomna#
#tumah#,#tuma#
#tunu#,#tunu#
#tutub#,#tutwu#
#kulit#,#ulti#
#ʔulu#,#ulu#
#ʔutaŋ#,#utna#
#ʔuzan#,#utna#
#kutu#,#utu#
#baliw#,#wali#
#baliw#,#wali#
#balik#,#wali#
#wani#,#wani#
#baŋun#,#wannu#
#baludʒ#,#warnu#
#baba#,#wawa#
#baʔbaʔ#,#wawa#
#beli#,#weli#
#betem#,#wetma#
#binehiʔ#,#wini#
#bisul#,#wislu#
#buaʔ#,#wo#
#buaʔ#,#woa#
#buʔaja#,#wuaa#
#bukuh#,#wuku#
#bulan#,#wulla#
#bulu#,#wulu#
#bunuʔ#,#wunu#
#aja#,#jei#
