input,output
#abaŋ#,#abaŋ#
#sapu#,#afuh#
#salaʔ#,#alaʔ#
#alem#,#alem#
#hapuj#,#apuj#
#ataj#,#ate#
#bali#,#balih#
#baludʒ#,#balud#
#bataŋ#,#bataŋ#
#batu#,#batuh#
#bituka#,#bituəh#
#buʔaja#,#buajeh#
#buʔaja#,#buajəh#
#zaʔat#,#daat#
#daŋdaŋ#,#dadaŋ#
#zalan#,#dalan#
#dalem#,#dalem#
#deŋan#,#deŋan#
#duha#,#dueh#
#deket#,#dəkət#
#pusedʒ#,#fuəd#
#ɡutɡut#,#ɡuɡut#
#kapit#,#kafit#
#kahiw#,#kajuh#
#kebkeb#,#kekeb#
#keŋkeŋ#,#kekeŋ#
#ketep#,#ketep#
#kilat#,#kilat#
#kilat#,#kilat#
#kiluʔ#,#kiluʔ#
#kiud#,#kiod#
#kudʒa#,#kudəh#
#kulat#,#kulat#
#kutu#,#kutuh#
#lakaw#,#lako#
#laŋit#,#laŋit#
#laŋit#,#laŋit#
#leŋen#,#leŋen#
#laʔia#,#liəh#
#luab#,#luab#
#lubaŋ#,#lubaŋ#
#lulun#,#lulun#
#malem#,#malem#
#taban#,#naban#
#zalan#,#nalan#
#natad#,#natad#
#natad#,#natad#
#telen#,#nelen#
#titiʔ#,#nitiʔ#
#tutuŋ#,#nutuŋ#
#deket#,#nəkət#
#panas#,#pana#
#taban#,#taban#
#tazem#,#tadem#
#taŋkub#,#takub#
#takub#,#takub#
#taneʔ#,#tanaʔ#
#tanek#,#tanek#
#tanem#,#tanem#
#teduŋ#,#tecuŋ#
#telen#,#telen#
#ʔatimun#,#timun#
#titiʔ#,#titiʔ#
#taʔen#,#ton#
#tutub#,#tutub#
#tutuŋ#,#tutuŋ#
#ʔuzuŋ#,#uduŋ#
#kebkeb#,#ŋekeb#
#keŋkeŋ#,#ŋekeŋ#
#buhek#,#əbhuk#
