input,output
#ʔabuk#,#abok#
#ʔabu#,#abu#
#hapit#,#apit#
#hasek#,#asak#
#ʔatep#,#atap#
#ʔembus#,#embus#
#ʔampelas#,#empelas#
#ʔapelas#,#empelas#
#ʔetak#,#entak#
#ʔentek#,#entak#
#ʔilaw#,#ilau#
#ʔimpas#,#impas#
#ʔiris#,#iris#
#ʔisep#,#isap#
#hiŋus#,#iŋus#
#ʔuban#,#uban#
#ʔules#,#ulas#
#ʔuledʒ#,#ulat#
#ʔuli#,#uli#
#ʔulun#,#ulun#
#ʔuma#,#uma#
#ʔubi#,#umbi#
#ʔunzur#,#undʒur#
#ʔuruŋ#,#uroŋ#
#ʔutan#,#utan#
#ʔutaŋ#,#utaŋ#
#hujuŋ#,#ujoŋ#
#ʔelet#,#lat#
#wada#,#ada#
#aduʔ#,#adoh#
#halas#,#alas#
#ʔalun#,#alun#
#aliʔ#,#aleh#
#hamuk#,#amok#
#hapin#,#ampin#
#ampun#,#ampun#
#anak#,#anak#
#apa#,#apa#
#hapuj#,#api#
#apuŋ#,#apoŋ#
#hasaʔ#,#asah#
#hasek#,#asak#
#hasaŋ#,#asaŋ#
#atas#,#atas#
#hawak#,#awak#
#aɲem#,#aɲam#
#aɲam#,#aɲam#
#haŋin#,#aŋin#
#aŋkup#,#aŋkup#
#hakut#,#aŋkut#
#barbar#,#babar#
#baɡal#,#baɡal#
#baʔaɡi#,#bahaɡi#
#baʔaɡi#,#baɡi#
#bahi#,#bai#
#bak#,#bak#
#balaj#,#balai#
#balan#,#balan#
#balu#,#balu#
#balun#,#balun#
#balik#,#balek#
#banaw#,#banau#
#bantiŋ#,#bantiŋ#
#bantun#,#bantun#
#baraŋ#,#baraŋ#
#barik#,#barek#
#baseʔ#,#basah#
#bataŋ#,#bataŋ#
#batuk#,#batok#
#batuk#,#batok#
#batu#,#batu#
#bahu#,#bau#
#baba#,#bawa#
#babaʔ#,#bawah#
#baŋkal#,#baŋkal#
#baŋun#,#baŋun#
#belbel#,#bebal#
#berber#,#bebar#
#bedʒbedʒ#,#bebat#
#bekas#,#bekas#
#beŋkaŋ#,#bekaŋ#
#bekaŋ#,#bekaŋ#
#belat#,#belat#
#balalatuk#,#belatok#
#belaŋ#,#belaŋ#
#beli#,#beli#
#belit#,#belit#
#bilikuŋ#,#beleŋkoŋ#
#bena#,#bena#
#bener#,#benar#
#beŋaŋ#,#benaŋ#
#bentas#,#bentas#
#bentuk#,#bentok#
#banua#,#benua#
#betas#,#betas#
#beŋa#,#beŋa#
#beŋaʔ#,#beŋah#
#beŋel#,#beŋal#
#beŋaŋ#,#beŋaŋ#
#beŋis#,#beŋis#
#beŋkak#,#beŋkak#
#birbir#,#bibir#
#bitbit#,#bibit#
#biŋku#,#biku#
#bilik#,#bilek#
#bities#,#bintis#
#birat#,#birat#
#birit#,#birit#
#biriŋ#,#biriŋ#
#bisul#,#bisul#
#biŋaʔ#,#biŋah#
#bikaʔ#,#biŋkah#
#biŋkas#,#biŋkas#
#biŋkuŋ#,#biŋkoŋ#
#bukbuk#,#bobok#
#busbus#,#bobos#
#busbus#,#bubus#
#buluŋ#,#boloŋ#
#buŋ#,#boŋ#
#buŋkas#,#boŋkas#
