input,output
#wada#,#ada#
#edaʔ#,#adaʔ#
#wakat#,#akat#
#epat#,#ampat#
#anak#,#anak#
#hasaʔ#,#ansaʔ#
#hapuj#,#api#
#adʒan#,#asan#
#ʔataj#,#ate#
#hakut#,#aŋkut#
#baʔbaʔ#,#babaʔ#
#banua#,#banua#
#bataŋ#,#bataŋ#
#danum#,#danum#
#dahun#,#daun#
#ida#,#ira#
#kajaw#,#kajo#
#laledʒ#,#lalas#
#liteʔ#,#litaʔ#
#nunuk#,#nunuk#
#hapedʒis#,#padis#
#piut#,#puʔit#
#siŋkul#,#siŋkul#
#talih#,#tali#
#taliŋa#,#taliŋa#
#tapel#,#tampal#
#tau#,#tau#
#tuʔan#,#toan#
#ʔulu#,#ulu#
#ʔulun#,#ulun#
#ʔuma#,#uma#
#huni#,#uɲi#
#wani#,#waɲi#
