input,output
#a#,#a#
#ʔelet#,#alleʔ#
#ambak#,#ambaʔ#
#anak#,#anaʔ#
#apa#,#apa#
#hapuj#,#api#
#epat#,#appeʔ#
#empu#,#appo#
#ʔampus#,#apus#
#ʔapus#,#apus#
#ʔadep#,#areʔ#
#ʔataj#,#ate#
#ʔatep#,#ateʔ#
#baɡeʔaŋ#,#baɡaŋ#
#beka#,#bakka#
#bekas#,#bakkas#
#bala#,#bala#
#balabaw#,#balao#
#balik#,#baliʔ#
#bekeladʒ#,#ballar#
#belaŋ#,#ballaŋ#
#banua#,#banua#
#baseʔ#,#base#
#bataŋ#,#bataŋ#
#batu#,#batu#
#benut#,#benu#
#bila#,#bila#
#biluk#,#biluʔ#
#binaŋa#,#binaŋa#
#biseʔak#,#bisaʔ#
#bintiŋ#,#bittiŋ#
#buŋkas#,#bokkas#
#bukas#,#bokkas#
#betus#,#bottu#
#buaʔ#,#bua#
#buʔaŋ#,#buaŋ#
#buhat#,#buaʔ#
#buŋkuk#,#bukkuʔ#
#bukuh#,#buku#
#bulan#,#bulaŋ#
#bulat#,#bullaʔ#
#bulu#,#bulu#
#budʒeʔ#,#bura#
#buta#,#buta#
#butuʔ#,#buto#
#buntal#,#buttal#
#buŋa#,#buŋa#
#buŋas#,#buŋas#
#bukbuk#,#buʔbuʔ#
#dahun#,#dauŋ#
#duha#,#dua#
#esuŋ#,#essuŋ#
#ɡiliŋ#,#ɡiliŋ#
#inzak#,#indaʔ#
#iriŋ#,#iriŋ#
#irid#,#iriʔ#
#kaka#,#kaka#
#dalem#,#lalaŋ#
#lakaw#,#lao#
#lasuʔ#,#laso#
#liaŋ#,#leaŋ#
#lisehaʔ#,#lisse#
#liseʔah#,#lisse#
#litek#,#litaʔ#
#mata#,#mata#
#miɲak#,#minnaʔ#
#ɲamuk#,#namoʔ#
#paladʒ#,#paleʔ#
#paniki#,#paniki#
#panaw#,#pano#
#puaŋ#,#puaŋ#
#pusuʔ#,#puso#
#diŋdiŋ#,#rindiŋ#
#runduŋ#,#runduŋ#
#ruduŋ#,#runduŋ#
#ludʒan#,#ruraŋ#
#salaʔ#,#sala#
#sambak#,#sambaʔ#
#sapu#,#sapu#
#tasik#,#sasiʔ#
#sawa#,#sawa#
#selet#,#seleʔ#
#suku#,#suku#
#sukun#,#sukuŋ#
#suluʔ#,#sulo#
#taʔi#,#tai#
#telem#,#tallaŋ#
#tama#,#tama#
#tanek#,#tanaʔ#
#tapa#,#tapa#
#taʔun#,#tauŋ#
#teŋaʔ#,#taŋŋa#
#tinzeɡ#,#tindaʔ#
#tizeɡ#,#tindaʔ#
#tumah#,#tuma#
#tunu#,#tunu#
#ukir#,#ukir#
#kulit#,#uliʔ#
#ʔulu#,#ulu#
#ʔuma#,#uma#
#ʔumpan#,#uppaŋ#
#ʔuzan#,#uraŋ#
#ʔuruŋ#,#urruŋ#
#ʔuruŋ#,#uruŋ#
#nihawa#,#ɲawa#
