input,output
#a#,#a#
#hasek#,#acek#
#aɡu#,#aɡu#
#akak#,#ahak#
#aŋkit#,#akit#
#akit#,#akit#
#halem#,#alem#
#halin#,#aliŋ#
#ʔahelu#,#alu#
#abaŋ#,#ambaŋ#
#ambit#,#ambet#
#hampil#,#ampil#
#ʔampus#,#ampus#
#ʔapus#,#ampus#
#ampun#,#ampuŋ#
#anak#,#anak#
#anduŋ#,#anduŋ#
#apa#,#apa#
#hapuj#,#api#
#ʔadʒeŋ#,#aseŋ#
#ʔataj#,#ati#
#hawak#,#awak#
#ʔabu#,#awu#
#abus#,#awus#
#haŋus#,#aŋos#
#baɡal#,#baɡal#
#baɡal#,#bahal#
#baʔaɡi#,#baɡi#
#baʔaɡi#,#bahi#
#bakas#,#bahas#
#balar#,#balar#
#balaŋ#,#balaŋ#
#bales#,#bales#
#baliw#,#bali#
#balik#,#balik#
#balu#,#balu#
#baluk#,#baluk#
#baraŋ#,#baraŋ#
#barik#,#barik#
#baŋeʔes#,#baŋes#
#baŋʔes#,#baŋes#
#baŋkal#,#baŋkal#
#belbel#,#bebel#
#besek#,#becek#
#beŋkas#,#behas#
#bekuɡ#,#bekuk#
#bekuk#,#bekuk#
#bekul#,#bekul#
#balabaw#,#belawo#
#belaŋ#,#belaŋ#
#bebak#,#bembak#
#berber#,#bember#
#besbes#,#bembes#
#bandaŋan#,#bendaŋan#
#ber#,#ber#
#betu#,#betu#
#betuŋ#,#betuŋ#
#beŋat#,#beŋat#
#beŋaŋ#,#beŋaŋ#
#beŋel#,#beŋel#
#beŋi#,#beŋe#
#bila#,#bila#
#biŋkal#,#biŋkal#
#biŋkas#,#biŋkas#
#biŋkuŋ#,#biŋkuŋ#
#bunter#,#bonter#
#bunbun#,#bubuŋ#
#buk#,#buk#
#buket#,#buket#
#buŋkuk#,#bukuk#
#buŋbuŋ#,#bumbuŋ#
#buntaŋ#,#buntaŋ#
#buntuʔ#,#buntu#
#burit#,#burit#
#buta#,#buta#
#buŋ#,#buŋ#
#buŋa#,#buŋa#
#saʔebit#,#cabit#
#sakep#,#cakep#
#caŋket#,#caket#
#caket#,#caket#
#sapak#,#capak#
#saput#,#caput#
#saut#,#caut#
#sebuh#,#cebu#
#sekep#,#cehep#
#sepaŋ#,#cepaŋ#
#sepet#,#cepet#
#cepuk#,#cepuk#
#serep#,#cerep#
#cerik#,#cerik#
#ceŋap#,#ceŋap#
#seŋɡer#,#ceŋɡer#
#seɡer#,#ceŋɡer#
#siksik#,#cicik#
#siŋket#,#ciket#
#siket#,#ciket#
#silap#,#cilap#
#sileŋ#,#cileŋ#
#sirak#,#cirak#
#suka#,#cuka#
#suli#,#culi#
#suluʔ#,#culu#
#supu#,#cupu#
#suŋkab#,#cuŋkap#
#sukab#,#cuŋkap#
#simpet#,#cepet#
#sipet#,#cepet#
#daŋket#,#daket#
#daket#,#daket#
#dalit#,#dalit#
#zaʔat#,#daʔat#
#desek#,#decek#
#deŋɡuk#,#deɡuk#
#deɡuk#,#deɡuk#
#deŋkit#,#dekit#
#dekit#,#dekit#
#delep#,#delep#
#zemak#,#demak#
#dempul#,#dempul#
#depul#,#dempul#
#diʔaʔ#,#diʔa#
#dusuk#,#ducuk#
#zuŋkuk#,#dukuk#
#dumpul#,#dumpul#
#duŋkuk#,#duŋkuk#
#ʔekʔek#,#ehek#
#eŋkeb#,#ekep#
#ekeb#,#ekep#
#ekep#,#ekep#
#elak#,#elak#
#ema#,#ema#
#ʔempeŋ#,#empeŋ#
#empeŋ#,#empeŋ#
#empu#,#empo#
#eseŋ#,#enceŋ#
#ʔentek#,#entek#
#ʔentep#,#entep#
#ʔezen#,#eseŋ#
#ʔeŋkem#,#eŋkem#
#heʔe#,#eʔe#
#ɡaɡar#,#ɡaɡar#
#ɡantuk#,#ɡatuk#
#ɡatuk#,#ɡatuk#
#ɡesɡes#,#ɡeɡes#
#ɡeɡes#,#ɡeɡes#
#ɡer#,#ɡer#
#ɡerit#,#ɡerit#
#ɡedek#,#ɡesek#
#ɡeŋ#,#ɡeŋ#
#ɡiliŋ#,#ɡiliŋ#
#ɡintil#,#ɡintil#
#ɡipit#,#ɡipet#
#ɡur#,#ɡur#
#kahiw#,#hadʒu#
#kali#,#hali#
#kampis#,#hampes#
#ekap#,#hap#
#kahu#,#hau#
#kiₐ#,#hi#
#ɡikɡik#,#hihik#
#kik#,#hik#
#kilap#,#hilap#
#kilat#,#hilat#
#kima#,#hima#
#kusik#,#hucik#
#kukuh#,#huku#
#kulat#,#hulat#
#kutu#,#hutu#
#ibak#,#ibak#
#ibak#,#iwak#
#inda#,#ida#
#hikan#,#ikaŋ#
#iŋkes#,#ikes#
#ikes#,#ikes#
#ikuŋ#,#ikoŋ#
#ilap#,#ilap#
#ʔilaw#,#ilo#
#imbaŋ#,#imba#
#imbaŋ#,#imbaŋ#
#impu#,#impu#
#ʔimpun#,#impun#
#ʔipun#,#impun#
#hipun#,#impuŋ#
#inum#,#inuŋ#
#ʔio#,#io#
#ʔiuk#,#iok#
#impes#,#ipes#
#ipes#,#ipes#
#ʔipit#,#ipit#
#idus#,#irus#
#ʔis#,#is#
#idʒuŋ#,#isuŋ#
#itek#,#itek#
#kiuk#,#iuk#
#ʔiuk#,#iuk#
#ʔiuŋ#,#iuŋ#
#zaʔit#,#dʒaʔik#
#eŋkak#,#kak#
#ekak#,#kak#
#kakakₐ#,#kakak#
#karis#,#karis#
#ɡatel#,#katel#
#katu#,#katu#
#kaŋ#,#kaŋ#
#kaŋa#,#kaŋa#
#kaŋeʔa#,#kaŋa#
#kaŋkaŋ#,#kaŋɡaŋ#
#keŋkeŋ#,#kekeŋ#
#kek#,#kek#
#kempus#,#kempus#
#kepus#,#kempus#
#kepit#,#kempet#
#kamuniŋ#,#kemuniŋ#
#kenas#,#kenas#
#kanaŋa#,#kenaŋa#
#kepuk#,#kepuk#
#akerahaʔ#,#kera#
#keriʔik#,#kerik#
#ekeŋ#,#keŋ#
#keŋ#,#keŋ#
#keŋkeŋ#,#keŋkeŋ#
#kik#,#kik#
#kikik#,#kikik#
#kilep#,#kilep#
#kimpes#,#kimpes#
#kipes#,#kimpes#
#kiŋ#,#kiŋ#
#kulu#,#kolo#
#kuk#,#kuk#
#ekuk#,#kuk#
#kukun#,#kukuŋ#
#kureʔit#,#kurit#
#kurʔit#,#kurit#
#kuŋ#,#kuŋ#
#kuŋkuŋ#,#kuŋkuŋ#
#labak#,#labak#
#labi#,#labi#
#laɡi#,#laɡi#
#elak#,#lak#
#lakaw#,#lako#
#lalin#,#laliŋ#
#laluŋ#,#laloŋ#
#lampaʔ#,#lampa#
#lamun#,#lamuŋ#
#lateŋ#,#lanteŋ#
#lapis#,#lapis#
#lasuʔ#,#laso#
#lawi#,#lawi#
#laŋkaw#,#laŋɡa#
#lebet#,#lebet#
#leŋkaʔ#,#leha#
#lekaʔ#,#leha#
#lekas#,#lekas#
#leŋkaŋ#,#lekaŋ#
#lekaŋ#,#lekaŋ#
#lekes#,#lekes#
#leŋkuk#,#lekok#
#leplep#,#lelep#
#lelep#,#lelep#
#elem#,#lem#
#lemek#,#lemek#
#lemer#,#lemer#
#lemeŋ#,#lemeŋ#
#lentak#,#lentak#
#letak#,#lentak#
#lepes#,#lepes#
#lepet#,#lepet#
#lepit#,#lepit#
#lepit#,#lepit#
#lepik#,#lepek#
#ʔaledʒaw#,#leso#
#leŋkiʔ#,#leŋki#
#laʔia#,#lia#
#liaŋ#,#liaŋ#
#liket#,#liket#
#lilin#,#lilin#
#limbun#,#limbuŋ#
#liteʔ#,#lita#
#litek#,#litek#
#lintik#,#litik#
#litik#,#litik#
#eliŋ#,#liŋ#
#liŋ#,#liŋ#
#lubuk#,#lubuk#
#lumbu#,#lumbu#
#lubuk#,#lumbuk#
#lumes#,#lumes#
#lumeŋ#,#lumeŋ#
#maket#,#maket#
#males#,#males#
#mali#,#mali#
#mamaʔ#,#mama#
#mama#,#mama#
#mampus#,#mampos#
#manuk#,#manuk#
#mata#,#mata#
#maliraŋ#,#meliraŋ#
#mentik#,#mentik#
#metik#,#mentik#
#mipis#,#mimpis#
#miɲak#,#minak#
#mipis#,#mipis#
#musaŋ#,#mucaŋ#
#muntaj#,#munta#
#mimis#,#mimis#
#ɲamuk#,#namok#
#ɲatuʔ#,#natu#
#nihawa#,#nawa#
#naŋa#,#naŋa#
#naŋa#,#naŋa#
#depuk#,#ndepuk#
#dilap#,#ndilap#
#niket#,#niket#
#paniki#,#niki#
#ʔanilaw#,#nila#
#niniʔ#,#nini#
#talaʔ#,#ntala#
#aɲuliŋ#,#nuliŋ#
#nusa#,#nunca#
#nusa#,#nuca#
#uak#,#oak#
#ukuk#,#okok#
#ukuk#,#okuk#
#uliʔ#,#ole#
#huj#,#oe#
#paɡal#,#paɡal#
#pakan#,#pahaŋ#
#pak#,#pak#
#palak#,#palak#
#palu#,#palu#
#pampa#,#pampa#
#papa#,#pampa#
#panas#,#panas#
#paŋedan#,#pandaŋ#
#panaw#,#pano#
#pantar#,#pantar#
#patar#,#pantar#
#papan#,#papaŋ#
#epat#,#pat#
#pahuʔ#,#pau#
#epaŋ#,#paŋ#
#paʔit#,#paʔit#
#pesak#,#pecak#
#peket#,#peket#
#ʔampelas#,#pelas#
#ʔapelas#,#pelas#
#peɲu#,#penu#
#pedet#,#peret#
#periŋ#,#periŋ#
#pes#,#pes#
#pezeŋ#,#peseŋ#
#epeŋ#,#peŋ#
#peŋ#,#peŋ#
#peŋa#,#peŋa#
#pikut#,#pikut#
#pipis#,#pipis#
#pitak#,#pitak#
#puŋkaʔ#,#poka#
#pukaʔ#,#poka#
#pukaʔ#,#poka#
#pucek#,#pucek#
#pusuʔ#,#pucu#
#epuk#,#puk#
#pulit#,#pulit#
#apuni#,#puni#
#puni#,#puni#
#pudun#,#puruŋ#
#pus#,#pus#
#pusedʒ#,#putes#
#puʔas#,#puʔas#
#raket#,#raket#
#raŋepas#,#rampas#
#raŋpas#,#rampas#
#dapet#,#rapet#
#rapet#,#rapet#
#rantas#,#ratas#
#ratas#,#ratas#
#rawan#,#rawaŋ#
#raŋkep#,#raŋkep#
#rebut#,#rebut#
#reŋɡuk#,#reɡuk#
#reɡuk#,#reɡuk#
#rekut#,#rekot#
#dekuk#,#rekuk#
#repuk#,#rempuk#
#remuk#,#remuk#
#renzak#,#rendak#
#rezak#,#rendak#
#repek#,#repek#
#repuk#,#repuk#
#reput#,#reput#
#reŋɡeŋ#,#reŋɡeŋ#
#reɡeŋ#,#reŋɡeŋ#
#reŋit#,#reŋit#
#reŋut#,#reŋut#
#rimpuk#,#rimpuk#
#diŋdiŋ#,#rindiŋ#
#rintik#,#rintik#
#riʔas#,#riʔas#
#recik#,#rocik#
#rupuk#,#ropok#
#rutas#,#rotas#
#dujuŋ#,#rudʒuŋ#
#rumpak#,#rumpak#
#rimpuŋ#,#rempuŋ#
#rimpuŋ#,#rimpuŋ#
#riŋis#,#reŋes#
#riŋis#,#riŋis#
#daki#,#saki#
#zalan#,#salaŋ#
#adamaj#,#sama#
#dahun#,#sauŋ#
#daʔih#,#saʔi#
#daʔu#,#saʔu#
#debek#,#sebek#
#sekuk#,#sekuk#
#zelaj#,#sela#
#sikut#,#sikot#
#dilep#,#silep#
#sinduk#,#sinduk#
#siduk#,#sinduk#
#ditaʔ#,#sita#
#duha#,#sua#
#sumpit#,#sumpit#
#tasik#,#tacik#
#ʔetak#,#tak#
#takaw#,#tako#
#talih#,#tali#
#taluk#,#talok#
#tambar#,#tambar#
#tabun#,#tambuŋ#
#tapel#,#tampel#
#taneʔ#,#tana#
#tapa#,#tapa#
#tawa#,#tawa#
#taŋɡa#,#taŋɡa#
#taŋkep#,#taŋkep#
#taŋkep#,#taŋkep#
#takep#,#taŋkep#
#taʔi#,#taʔi#
#tebel#,#tebel#
#tenzeɡ#,#tedek#
#tendek#,#tedek#
#tenzeɡ#,#tedek#
#tedek#,#tedek#
#tenzeɡ#,#tendek#
#tendek#,#tendek#
#tenzeɡ#,#tendek#
#tedek#,#tendek#
#teɡaŋ#,#teɡaŋ#
#teɡel#,#teɡel#
#teɡer#,#teɡer#
#teɡuk#,#teɡuk#
#teɡas#,#tehas#
#tek#,#tek#
#teka#,#teka#
#tekek#,#tekek#
#tekuk#,#tekok#
#tekuŋ#,#tekoŋ#
#etel#,#tel#
#telaʔ#,#tela#
#tela#,#tela#
#telem#,#telem#
#teleb#,#telep#
#tempak#,#tempak#
#temu#,#temu#
#tenzeɡ#,#tendek#
#tendek#,#tendek#
#tenzeɡ#,#tendek#
#tedek#,#tendek#
#eter#,#ter#
#teduŋ#,#tesoŋ#
#tetas#,#tetas#
#teŋ#,#teŋ#
#teɡer#,#teŋɡer#
#teŋuʔ#,#teŋu#
#tinzeɡ#,#tidek#
#tizeɡ#,#tidek#
#tilu#,#tilu#
#ʔatimun#,#timuŋ#
#tinzeɡ#,#tindek#
#tizeɡ#,#tindek#
#tidu#,#tisu#
#tiktik#,#titik#
#tiŋ#,#tiŋ#
#tuʔah#,#toʔa#
#tuduk#,#tuduk#
#tui#,#tui#
#tui#,#ntui#
#etuk#,#tuk#
#tukaŋ#,#tukaŋ#
#tumah#,#tuma#
#tumpus#,#tumpus#
#tupus#,#tumpus#
#tuna#,#tuna#
#tunu#,#tunu#
#tumpus#,#tupus#
