input,output
#a#,#a#
#hapuj#,#ahi#
#hapen#,#aho#
#ʔanitu#,#aitu#
#zalan#,#ara#
#ʔadep#,#aro#
#ʔataj#,#ate#
#ʔatep#,#ato#
#atu#,#atu#
#ʔatuan#,#atua#
#ʔasu#,#au#
#sawaʔ#,#awa#
#cikep#,#hiko#
#peɲu#,#honu#
#buaʔ#,#hua#
#bukbuk#,#huhu#
#buka#,#huke#
#punas#,#huna#
#bunuʔ#,#hunu#
#suli#,#huri#
#puliŋ#,#huri#
#suluʔ#,#huru#
#bulu#,#huru#
#ia#,#ia#
#hikan#,#ika#
#ikaj#,#ike#
#ʔina#,#ina#
#inum#,#inu#
#ʔila#,#ira#
#ʔuledʒ#,#iro#
#kasaw#,#kaho#
#ɡatɡat#,#kakati#
#kali#,#kari#
#kiₐ#,#ki#
#kulit#,#kiri#
#kemi#,#komi#
#ɡemi#,#komi#
#kutu#,#kutu#
#manuk#,#manu#
#mata#,#mata#
#mai#,#me#
#mimi#,#mimi#
#ɲamuk#,#namu#
#ɲaɲuk#,#nanu#
#ʔeti#,#oti#
#baku#,#paku#
#papan#,#papa#
#pikit#,#piki#
#pikel#,#piko#
#piŋkaw#,#piko#
#bibi#,#pipi#
#pilit#,#piri#
#bener#,#pono#
#bekbek#,#popo#
#buaʔ#,#pua#
#bukuh#,#puku#
#bulan#,#pura#
#buliʔ#,#pure#
#buliʔ#,#pure#
#daʔih#,#rae#
#danum#,#ranu#
#dalem#,#raro#
#dahun#,#rau#
#laŋit#,#raŋi#
#laŋaw#,#raŋo#
#lisehaʔ#,#riha#
#liseʔah#,#riha#
#limut#,#rimu#
#dekuk#,#roku#
#luaŋ#,#rua#
#duha#,#rua#
#duŋduŋ#,#ruru#
#taʔaj#,#tae#
#tasik#,#tai#
#saet#,#tao#
#talih#,#tari#
#tales#,#taro#
#talun#,#taru#
#sauʔ#,#tau#
#taʔun#,#tau#
#taŋis#,#taŋi#
#tian#,#tia#
#tindaw#,#tiro#
#tiup#,#tiu#
#tebiʔ#,#tohi#
#tekas#,#toka#
#teken#,#toko#
#teli#,#tore#
#tusiʔ#,#tuhi#
#tuna#,#tuna#
#tunu#,#tunu#
#tubuʔ#,#tupu#
#tumbuʔ#,#tupu#
#tuli#,#turi#
#ʔuzan#,#ua#
#ʔumun#,#umu#
#hunus#,#unu#
#surup#,#uru#
#ʔulu#,#uru#
#udʒan#,#uta#
#ʔutan#,#uta#
#ʔupa#,#uwha#
#ʔupa#,#uha#
#ʔubi#,#uwhi#
#ʔubi#,#uhi#
#baba#,#waha#
#baʔbaʔ#,#waha#
#panaw#,#whano#
#paŋedan#,#whara#
#balaj#,#whare#
#batu#,#whatu#
#baŋa#,#whaŋa#
#banua#,#whenua#
#bilit#,#whiri#
#epat#,#whaː#
#wirit#,#wiri#
#ŋaŋŋaŋ#,#ŋaŋaː#
#ŋaŋaŋ#,#ŋaŋaː#
#ŋaŋ#,#ŋaː#
#ŋakŋak#,#ŋaːŋaː#
#ŋek#,#ŋoː#
#uu#,#uː#
