input,output
#ʔataj#,#adʒ#
#ʔatep#,#adʒ#
#ʔanitu#,#anidʒ#
#haŋin#,#aɲ#
#danum#,#daːn#
#ia#,#e#
#atas#,#edʒ#
#hapen#,#eo#
#zalan#,#iaɭ#
#ʔiŋet#,#iŋ#
#taŋis#,#dʒaŋ#
#tian#,#dʒe#
#kutu#,#kidʒ#
#kahiw#,#kaːaːn#
#kahiw#,#kejin#
#kataman#,#koːdʒaːm#
#kamu#,#kʷemʷ#
#laŋit#,#laɲ#
#mata#,#maːdʒ#
#ɲamuk#,#nam#
#papaʔ#,#paːp#
#daŋdaŋ#,#rar#
#duha#,#ruo#
#sakaj#,#tak#
#saku#,#tak#
#suluʔ#,#til#
#ʔumun#,#um#
#buhat#,#uwe#
#puket#,#wek#
#ʔuhenap#,#wun#
#adʒan#,#aːt#
#ɲamuk#,#ɳam#
