input,output
#anak#,#najəʔ#
#ʔapidʒ#,#kapajn#
#hapuj#,#pai#
#ʔataj#,#tae#
#batu#,#matawʔ#
#buʔaja#,#majaːʔ#
#baʔbaʔ#,#ɓaː#
#beli#,#mblajʔ#
#buhek#,#ɓawəʔ#
#bulan#,#mbluə#
#buta#,#tuəʔ#
#daʔan#,#laʔaə#
#diŋdiŋ#,#rintiə#
#epat#,#paːʔ#
#ɡatel#,#katan#
#kiŋkiŋ#,#kiːə#
#sisi#,#hɛj#
#zalan#,#nalaə#
#zauʔ#,#cau#
#kajaw#,#kajao#
#kulat#,#kluəʔ#
#kutu#,#kotowʔ#
#laki#,#lakajʔ#
#laŋit#,#laŋajc#
#lubaŋ#,#loɓojə#
#nunuk#,#lunuːəʔ#
#manuk#,#manawəʔ#
#biʔaŋ#,#miʔiə#
#nipaj#,#piəʔ#
#lapis#,#lɛpɛjh#
#panaw#,#panao#
#paʔit#,#paʔai#
#hapedʒes#,#prah#
#pulut#,#pləwkʷ#
#pusedʒ#,#puhuən#
#putiʔ#,#tuj#
#puʔun#,#puʔʊuŋʷ#
#taʔi#,#taʔajʔ#
#tebuh#,#təɓawʔ#
#kezut#,#ʄat#
#ʔanitu#,#tawʔ#
#tutuŋ#,#tutuə#
#ʔuzan#,#cuə#
#ʔuledʒ#,#luən#
#hutek#,#tuək#
