input,output
#a#,#a#
#ʔabu#,#abu#
#ʔahelu#,#alu#
#ʔapidʒ#,#apid#
#hasaʔ#,#ataʔ#
#hasek#,#atok#
#ʔatep#,#atop#
#hawak#,#awak#
#hadʒek#,#ajok#
#ʔazaj#,#ajoj#
#aŋkub#,#aŋkub#
#ba#,#ba#
#baba#,#baba#
#baɡeʔaŋ#,#baɡaŋ#
#bakuŋ#,#bakuŋ#
#baliw#,#baliw#
#baliw#,#baluj#
#bataŋ#,#bataŋ#
#baseʔ#,#bataʔ#
#batu#,#batu#
#bantun#,#batun#
#baruk#,#bajuk#
#baŋkaʔ#,#baŋkaʔ#
#bitbit#,#bibit#
#biliŋ#,#biliŋ#
#binaŋa#,#binaŋa#
#bisul#,#bitul#
#biŋkas#,#biŋkat#
#bebak#,#bobak#
#bedʒbedʒ#,#bobod#
#bekeladʒ#,#bolad#
#beli#,#boli#
#bendul#,#bondul#
#bentas#,#bontat#
#bahuʔ#,#booʔ#
#bahuʔ#,#buoʔ#
#betak#,#botak#
#betu#,#botu#
#bentuk#,#botuk#
#beŋel#,#boŋol#
#buhat#,#buat#
#buʔaja#,#buaja#
#buaʔ#,#buaʔ#
#bukbuk#,#bubuk#
#buŋkas#,#bukas#
#bukas#,#bukas#
#bukuh#,#buku#
#buliʔ#,#buliʔ#
#bunbun#,#bumbun#
#buni#,#buni#
#buhek#,#buok#
#buaj#,#buoj#
#budʒeʔ#,#buraʔ#
#budʒeʔ#,#bujaʔ#
#buteʔul#,#butul#
#butuʔ#,#butuʔ#
#burun#,#bujun#
#buŋaŋ#,#buŋaŋ#
#buŋkul#,#buŋkul#
#bukut#,#buŋkut#
#bulan#,#buɭan#
#bulud#,#buɭud#
#dakit#,#dakit#
#dapet#,#dapot#
#datu#,#datu#
#dahun#,#daun#
#zalan#,#daɭan#
#dilaʔ#,#dilaʔ#
#diŋdiŋ#,#dindiŋ#
#delem#,#dolom#
#delep#,#dolop#
#duha#,#dua#
#dulaʔ#,#dujaʔ#
#ɡila#,#ɡila#
#ɡila#,#ɡila#
#ɡiliŋ#,#ɡiliŋ#
#ihap#,#iap#
#itek#,#intok#
#hejup#,#irup#
#iŋat#,#iŋat#
#ʔiŋet#,#iŋot#
#kaʔit#,#kait#
#kamu#,#kamu#
#kasaw#,#kataw#
#kahiw#,#kaju#
#kiₐ#,#ki#
#kilat#,#kilat#
#kima#,#kima#
#kuak#,#kuak#
#kulit#,#kulit#
#kumi#,#kumi#
#kusik#,#kusik#
#kutu#,#kutu#
#lampaŋ#,#lampaŋ#
#laɲa#,#lana#
#laŋaw#,#laŋow#
#lipuʔ#,#lipuʔ#
#lisehaʔ#,#litaʔ#
#liseʔah#,#litaʔ#
#lesuŋ#,#lotuŋ#
#leŋkaŋ#,#loŋkaŋ#
#lekaŋ#,#loŋkaŋ#
#luheʔ#,#luaʔ#
#lumut#,#lumut#
#mata#,#mata#
#minaŋa#,#minaŋa#
#muntaj#,#muntoi#
#ɲatuʔ#,#nantuʔ#
#naŋa#,#naŋa#
#nipaʔ#,#nipaʔ#
#nunuk#,#nunuk#
#ʔalunan#,#olunan#
#aluten#,#oluton#
#empu#,#ompu#
#eɲep#,#onop#
#enteŋ#,#ontoŋ#
#eteŋ#,#ontoŋ#
#epat#,#opat#
#ʔampelas#,#opoɭat#
#ʔapelas#,#opoɭat#
#ʔeti#,#osi#
#ʔetut#,#otut#
#hejaʔ#,#ojaʔ#
#eŋkeb#,#oŋkob#
#ekeb#,#oŋkob#
#heʔe#,#oʔo#
#elem#,#oɭom#
#panas#,#panat#
#papan#,#papan#
#pia#,#pia#
#picik#,#pisik#
#pisaw#,#pitow#
#panahik#,#ponik#
#paniki#,#poniki#
#puket#,#pukot#
#punaŋ#,#punaŋ#
#putiʔ#,#pusiʔ#
#pusedʒ#,#putod#
#pusuʔ#,#putuʔ#
#pikak#,#pekak#
#raŋkup#,#rakup#
#rakup#,#rakup#
#recik#,#rosik#
#reŋut#,#roŋut#
#tian#,#sian#
#tikas#,#sikat#
#cikep#,#sikop#
#sindar#,#sindar#
#siwa#,#siow#
#tiked#,#siŋkod#
#sakit#,#takit#
#sakaj#,#takoi#
#takaw#,#takow#
#salaʔ#,#talaʔ#
#tambak#,#tambak#
#saput#,#taput#
#sasah#,#tataʔ#
#tawan#,#tawan#
#saŋa#,#taŋa#
#taʔaj#,#taʔaj#
#tebiʔ#,#tobi#
#teriŋ#,#toliŋ#
#tajtaj#,#totoj#
#tubuʔ#,#tubuʔ#
#tumbuʔ#,#tubuʔ#
#tudaʔ#,#tudaʔ#
#tuli#,#tuli#
#suluʔ#,#tuluʔ#
#tumah#,#tuma#
#tuʔelan#,#tuɭan#
#ʔu#,#u#
#huab#,#uab#
#uak#,#uak#
#ʔuban#,#uban#
#ʔubi#,#ubi#
#hulidʒ#,#ulid#
#ʔulin#,#ulin#
#uliʔ#,#uliʔ#
#ʔuledʒ#,#ulod#
#ʔulu#,#ulu#
#ʔulun#,#ulun#
#unah#,#una#
#ʔuhenap#,#unap#
#ʔusuŋ#,#untuŋ#
#ʔupa#,#upa#
#upus#,#uput#
#ʔutaŋ#,#utaŋ#
#ʔuzan#,#ujan#
#uduʔ#,#ujuʔ#
#ʔuŋkut#,#uŋkut#
#wakat#,#wakat#
#ŋaŋa#,#ŋaŋa#
#ŋidʒuŋ#,#ŋiruŋ#
#ŋidʒuŋ#,#ŋiuŋ#
