input,output
#ʔabu#,#abuʔ#
#ʔanit#,#anit#
#hapuj#,#api#
#baseʔ#,#baha#
#buʔaja#,#bajaʔ#
#betik#,#bətek#
#hinuʔ#,#inu#
#zalan#,#dʒalan#
#kahiw#,#kajuʔ#
#eŋkeb#,#kep#
#ekeb#,#kep#
#kutu#,#kutoʔ#
#laŋit#,#laŋit#
#daʔan#,#laʔan#
#dahun#,#laʔun#
#laʔia#,#liaʔ#
#ludaʔ#,#lura#
#leŋen#,#ləŋən#
#mata#,#mataʔ#
#bahu#,#mpu#
#tanem#,#nanəm#
#hapedʒes#,#perah#
#pusedʒ#,#puhən#
#puʔun#,#puʔun#
#salaʔ#,#salaʔ#
#zauʔ#,#su#
#takaw#,#tako#
#talih#,#taliʔ#
#tanem#,#tanəm#
#taŋis#,#taŋih#
#taʔu#,#taʔuh#
#tebuh#,#tebuʔ#
#taliŋa#,#teliŋaʔ#
#tunu#,#tunuʔ#
#tebuh#,#təbuʔ#
#uliʔ#,#uli#
#hutek#,#utək#
#anipa#,#ɲipaʔ#
