input,output
#a#,#a#
#adʒan#,#aha#
#adʒan#,#ahei#
#ʔasu#,#ahu#
#ʔalu#,#alu#
#handem#,#ando#
#ʔataj#,#ate#
#ʔatep#,#ato#
#ʔabin#,#avi#
#hapit#,#avi#
#abut#,#avu#
#aŋelem#,#aŋo#
#aŋlem#,#aŋo#
#kasaw#,#ɡaho#
#kahiw#,#ɡai#
#kanawaj#,#ɡanae#
#kima#,#ɡima#
#kinit#,#ɡini#
#kelas#,#ɡola#
#kerit#,#ɡoli#
#keteŋ#,#ɡoto#
#kua#,#ɡua#
#kukuh#,#ɡuɡu#
#kulit#,#ɡuli#
#kumi#,#ɡumi#
#kutu#,#ɡutu#
#kuŋ#,#ɡuu#
#sakaj#,#haɡe#
#sanu#,#hanu#
#sapa#,#hava#
#sendem#,#hondo#
#suluʔ#,#hulu#
#hikan#,#iɡa#
#ʔina#,#ina#
#inum#,#inu#
#ʔimpun#,#ivu#
#ʔipun#,#ivu#
#hibun#,#ivu#
#ibut#,#ivu#
#ʔiŋɡa#,#iŋɡa#
#ɡalu#,#kalu#
#kalu#,#kalu#
#kapit#,#kapi#
#ɡaris#,#kari#
#kauŋ#,#kau#
#kaŋa#,#kaŋa#
#kikit#,#kiki#
#kuliliŋ#,#kilili#
#ɡintik#,#kindi#
#ɡitik#,#kindi#
#kiras#,#kira#
#kiuk#,#kiu#
#kembuŋ#,#kombu#
#ɡundem#,#kuro#
#ɡudem#,#kuro#
#kubkub#,#kuvi#
#lalak#,#lala#
#dalidʒ#,#lali#
#dalem#,#lalo#
#lambuk#,#lambu#
#laŋkas#,#laŋɡa#
#lakas#,#laŋɡa#
#lakas#,#laŋɡa#
#laŋket#,#laŋɡo#
#laket#,#laŋɡo#
#laŋaw#,#laŋo#
#lisehaʔ#,#liha#
#liseʔah#,#liha#
#ʔaliliŋ#,#lili#
#liu#,#liu#
#leku#,#loɡu#
#leku#,#loku#
#luab#,#lualua#
#lumbar#,#lumba#
#ludʒan#,#lunda#
#maŋsit#,#mahi#
#mai#,#mai#
#mama#,#mama#
#mamaʔ#,#mama#
#manuk#,#manu#
#mata#,#mata#
#ba#,#mba#
#baliw#,#mbali#
#balu#,#mbalu#
#baŋbaŋ#,#mbamba#
#bara#,#mbara#
#buaʔ#,#mbua#
#buliʔ#,#mbuli#
#budaʔ#,#mbura#
#buta#,#mbuta#
#mimi#,#mimi#
#na#,#na#
#ɲamit#,#nami#
#nanaʔ#,#nana#
#saŋkit#,#ndaki#
#sakit#,#ndaki#
#cekel#,#ndoko#
#suli#,#nduli#
#niniʔ#,#nini#
#nipaʔ#,#niva#
#nepuʔ#,#novu#
#aɲuliŋ#,#nuli#
#ʔanunu#,#nunu#
#uliʔ#,#oli#
#enteŋ#,#oto#
#eteŋ#,#oto#
#embeŋ#,#ovo#
#hebun#,#ovu#
#ebun#,#ovu#
#eŋap#,#oŋa#
#heŋak#,#oŋa#
#baba#,#papa#
#pikel#,#piko#
#biliŋ#,#pili#
#picak#,#pisa#
#bitik#,#piti#
#belit#,#poli#
#peceʔ#,#posa#
#bukuh#,#puku#
#budaʔ#,#pura#
#daʔih#,#rae#
#rambek#,#rambo#
#rabek#,#rambo#
#dapdap#,#rara#
#dahun#,#rau#
#daŋket#,#raŋɡo#
#daket#,#raŋɡo#
#duha#,#rua#
#dukuʔ#,#ruɡu#
#sakup#,#saku#
#sasah#,#sanda#
#sapuk#,#savu#
#ziuʔ#,#siu#
#cekas#,#soɡa#
#susu#,#susu#
#taʔaj#,#tae#
#tasik#,#tahi#
#talih#,#tali#
#talisaj#,#talihe#
#taliŋa#,#taliŋa#
#talun#,#talu#
#tampek#,#tapo#
#tapis#,#tavi#
#taŋis#,#taŋi#
#tajtaj#,#tete#
#tindaw#,#tiro#
#tekas#,#toɡa#
#tebuh#,#tovu#
#tuaj#,#tue#
#tui#,#tui#
#tumah#,#tuma#
#tumpul#,#tupu#
#ʔuzan#,#uha#
#huj#,#ui#
#ulaj#,#ule#
#ʔulu#,#ulu#
#ʔuma#,#uma#
#ʔumun#,#umu#
#ʔubi#,#uvi#
#hubun#,#uvu#
#balaj#,#vale#
#balu#,#valu#
#panaw#,#vano#
#para#,#vara#
#ʔabated#,#vato#
#batu#,#vatu#
#babaw#,#vavo#
#bakaʔ#,#vaŋɡa#
#pai#,#vei#
#bilak#,#vila#
#bitik#,#vindi#
#pintik#,#vindi#
#pitik#,#vindi#
#pitik#,#vindi#
#pirit#,#viri#
#peka#,#voɡa#
#bekaʔ#,#voɡa#
#pekuʔ#,#voɡu#
#bekaʔ#,#voka#
#beli#,#voli#
#peɲu#,#vonu#
#buʔaja#,#vua#
#buaʔ#,#vua#
#puket#,#vuɡo#
#buka#,#vuke#
#bulan#,#vula#
#budaʔ#,#vura#
#butun#,#vutu#
#bukbuk#,#vuvu#
#ɡarus#,#ŋɡaru#
#kabut#,#ŋɡavu#
#kepik#,#ŋɡovi#
#kempus#,#ŋɡovu#
#kepus#,#ŋɡovu#
#ŋikŋik#,#ŋiŋi#
#ŋurut#,#ŋuru#
