input,output
#a#,#a#
#atu#,#adu#
#hapen#,#aho#
#ʔasu#,#asu#
#saŋa#,#aŋa#
#haŋin#,#aŋi#
#papan#,#baba#
#bibi#,#bibi#
#pikel#,#biɡo#
#pilit#,#bili#
#bukuh#,#buɡu#
#buliʔ#,#bule#
#bulut#,#bulu#
#taʔaj#,#dae#
#tasik#,#dai#
#talih#,#dali#
#tales#,#dalo#
#saet#,#dao#
#taʔun#,#dau#
#tindaw#,#dilo#
#tekas#,#doɡa#
#teken#,#doɡo#
#tubuʔ#,#dubu#
#tumbuʔ#,#dubu#
#tuna#,#duna#
#tunu#,#dunu#
#ʔanitu#,#eidu#
#kapak#,#ɡaba#
#kanawa#,#ɡanava#
#kasaw#,#ɡaso#
#kiₐ#,#ɡi#
#kulit#,#ɡili#
#kima#,#ɡima#
#kutu#,#ɡudu#
#batu#,#hadu#
#baʔbaʔ#,#haha#
#panaw#,#hano#
#peɲu#,#honu#
#buaʔ#,#hua#
#bulu#,#hulu#
#ʔuledʒ#,#ilo#
#daʔan#,#laa#
#daʔih#,#lae#
#daŋdaŋ#,#lala#
#dalem#,#lalo#
#laŋit#,#laŋi#
#laŋaw#,#laŋo#
#duha#,#lua#
#mata#,#mada#
#mimi#,#mimi#
#ɲamuk#,#namu#
#ʔeti#,#odi#
#salaʔ#,#sala#
#sual#,#sua#
#udʒan#,#uda#
#suliɡ#,#uli#
#surup#,#ulu#
#ʔulu#,#ulu#
#ʔumun#,#umu#
