input,output
#kahiw#,#a#
#kahiw#,#ai#
#ʔasu#,#as#
#hasaŋ#,#asen#
#kahu#,#au#
#kahu#,#au#
#bak#,#ba#
#bantun#,#bakən#
#baɲaw#,#ban#
#bitil#,#biser#
#bekeladʒ#,#bor#
#baŋun#,#baːn#
#paʔa#,#fa#
#pantar#,#faker#
#patar#,#faker#
#epat#,#fiak#
#hikan#,#in#
#ina#,#ina#
#inum#,#inem#
#irid#,#ir#
#irid#,#rir#
#hisuʔ#,#is#
#isu#,#is#
#isut#,#isuk#
#tatuʔu#,#kaku#
#taŋis#,#kanəs#
#taŋis#,#kanəs#
#tebuh#,#kob#
#tunu#,#kun#
#tunu#,#kun#
#mama#,#mam#
#manuk#,#man#
#banua#,#menu#
#mata#,#mɡa#
#mekmek#,#mom#
#ŋadʒan#,#nasan#
#nusa#,#nu#
#paŋan#,#paŋan#
#lakaw#,#ra#
#laŋaw#,#ran#
#laŋaw#,#ran#
#dalidʒ#,#rarəs#
#liteʔ#,#rik#
#dujuŋ#,#rowin#
#lumut#,#rumək#
#lakadʒ#,#raː#
#sauʔ#,#sau#
#siwa#,#siw#
#suli#,#sur#
#salaʔ#,#saːr#
#huʔu#,#u#
#kutu#,#uk#
#ʔuledʒ#,#uro#
#utik#,#us#
#aja#,#jai#
#aɲam#,#janəm#
#hapen#,#jafen#
#hadʒek#,#jaːs#
#hasaʔ#,#jaːs#
